DIA;HORAS_TOTALES_USOS_BICICLETAS;HORAS_TOTALES_DISPONIBILIDAD_BICICLETAS_EN _ANCLAJES;TOTAL_HORAS_SERVICIO_BICICLETAS;MEDIA_BICICLETAS_DISPONIBLES;USOS_ABONADO_ANUAL;USOS_ABONADO_OCASIONAL;TOTAL_USOS
20/09/2018;4.791,25;39.859,90;44.651,15;1.860,46;16.529;203;16.732
21/09/2018;4.656,50;39.653,75;44.310,25;1.846,26;15.600;205;15.805
22/09/2018;3.985,75;39.989,17;43.974,92;1.832,29;11.423;399;11.822
23/09/2018;4.006,90;39.619,05;43.625,95;1.817,75;11.100;441;11.541
24/09/2018;4.116,73;39.719,55;43.836,28;1.826,51;14.572;201;14.773
25/09/2018;4.391,57;38.967,73;43.359,30;1.806,64;15.671;161;15.832
26/09/2018;4.249,08;39.981,95;44.231,03;1.842,96;15.131;145;15.276
27/09/2018;4.639,53;39.537,50;44.177,03;1.840,71;16.024;167;16.191
28/09/2018;4.602,20;40.229,85;44.832,05;1.868,00;15.531;192;15.723
29/09/2018;3.989,97;40.822,97;44.812,94;1.867,21;11.742;401;12.143
30/09/2018;4.051,97;40.589,86;44.641,83;1.860,08;10.948;415;11.363
01/10/2018;4.203,60;40.255,66;44.459,26;1.852,47;14.116;284;14.400
02/10/2018;4.200,15;40.146,70;44.346,85;1.847,79;14.888;135;15.023
03/10/2018;4.469,27;39.389,47;43.858,74;1.827,45;15.777;143;15.920
04/10/2018;4.469,60;37.752,52;42.222,12;1.759,26;15.600;148;15.748
05/10/2018;4.472,75;37.198,99;41.671,74;1.736,32;15.106;192;15.298
06/10/2018;3.956,67;37.825,55;41.782,22;1.740,93;11.792;368;12.160
07/10/2018;3.388,52;39.094,20;42.482,72;1.770,11;9.864;348;10.212
08/10/2018;3.365,23;39.479,44;42.844,67;1.785,19;12.015;110;12.125
09/10/2018;3.248,60;39.688,55;42.937,15;1.789,05;11.608;85;11.693
10/10/2018;3.382,98;40.134,04;43.517,02;1.813,21;12.457;47;12.504
11/10/2018;3.306,02;40.536,90;43.842,92;1.826,79;11.746;57;11.803
12/10/2018;2.781,78;41.229,78;44.011,56;1.833,82;7.850;191;8.041
13/10/2018;3.095,65;41.295,86;44.391,51;1.849,65;8.993;393;9.386
14/10/2018;2.197,62;42.596,98;44.794,60;1.866,44;6.887;199;7.086
15/10/2018;2.819,52;42.861,71;45.681,23;1.903,38;10.699;63;10.762
16/10/2018;3.745,93;42.223,21;45.969,14;1.915,38;13.630;80;13.710
17/10/2018;4.015,68;41.596,98;45.612,66;1.900,53;14.430;98;14.528
18/10/2018;3.463,20;41.660,90;45.124,10;1.880,17;12.791;102;12.893
19/10/2018;2.101,18;43.091,80;45.192,98;1.883,04;7.216;68;7.284
20/10/2018;2.722,05;42.541,10;45.263,15;1.885,96;8.357;248;8.605
21/10/2018;2.944,18;41.898,39;44.842,57;1.868,44;8.955;242;9.197
22/10/2018;3.657,58;41.896,52;45.554,10;1.898,09;13.226;127;13.353
23/10/2018;3.922,80;41.697,95;45.620,75;1.900,86;14.081;136;14.217
24/10/2018;4.014,43;41.802,11;45.816,54;1.909,02;14.240;102;14.342
25/10/2018;4.087,58;41.923,37;46.010,95;1.917,12;14.618;150;14.768
26/10/2018;3.318,45;42.559,87;45.878,32;1.911,60;11.387;126;11.513
27/10/2018;2.127,00;44.008,02;46.135,02;1.922,29;6.619;81;6.700
28/10/2018;2.404,93;45.829,15;48.234,08;1.929,36;6.796;161;6.957
29/10/2018;2.877,68;43.805,59;46.683,27;1.945,14;10.216;64;10.280
30/10/2018;1.591,15;45.759,65;47.350,80;1.972,95;5.125;8;5.133
31/10/2018;2.896,40;44.652,47;47.548,87;1.981,20;10.451;40;10.491
01/11/2018;2.787,17;44.180,77;46.967,94;1.957,00;7.812;225;8.037
02/11/2018;3.108,23;44.846,19;47.954,42;1.998,10;9.846;253;10.099
03/11/2018;2.718,18;45.440,17;48.158,35;2.006,60;8.019;252;8.271
04/11/2018;2.538,98;45.794,36;48.333,34;2.013,89;7.271;247;7.518
05/11/2018;1.852,98;46.337,77;48.190,75;2.007,95;6.401;33;6.434
06/11/2018;3.042,22;44.919,12;47.961,34;1.998,39;10.699;79;10.778
07/11/2018;2.267,33;45.247,15;47.514,48;1.979,77;7.897;27;7.924
08/11/2018;2.371,32;44.899,47;47.270,79;1.969,62;8.733;24;8.757
09/11/2018;2.369,87;44.890,18;47.260,05;1.969,17;6.992;109;7.101
10/11/2018;2.069,42;45.314,98;47.384,40;1.974,35;6.285;109;6.394
11/11/2018;2.470,67;44.986,01;47.456,68;1.977,36;6.781;189;6.970
12/11/2018;2.594,78;45.146,49;47.741,27;1.989,22;9.717;20;9.737
13/11/2018;3.363,90;44.629,29;47.993,19;1.999,72;12.299;82;12.381
14/11/2018;3.399,77;44.764,58;48.164,35;2.006,85;12.163;71;12.234
15/11/2018;3.346,53;44.640,79;47.987,32;1.999,47;11.935;48;11.983
16/11/2018;3.132,35;44.011,87;47.144,22;1.964,34;11.105;97;11.202
17/11/2018;3.248,23;42.890,49;46.138,72;1.922,45;9.448;311;9.759
18/11/2018;1.956,08;44.008,84;45.964,92;1.915,21;5.322;103;5.425
19/11/2018;2.786,72;44.261,96;47.048,68;1.960,36;9.875;68;9.943
20/11/2018;2.455,00;44.516,34;46.971,34;1.957,14;9.104;27;9.131
21/11/2018;2.808,38;44.850,92;47.659,30;1.985,80;10.042;29;10.071
22/11/2018;2.958,90;45.291,13;48.250,03;2.010,42;11.236;20;11.256
23/11/2018;3.112,53;45.042,68;48.155,21;2.006,47;10.833;79;10.912
24/11/2018;2.473,50;44.797,73;47.271,23;1.969,63;7.634;168;7.802
25/11/2018;2.150,57;44.607,60;46.758,17;1.948,26;6.042;131;6.173
26/11/2018;2.800,27;45.236,82;48.037,09;2.001,55;9.876;61;9.937
27/11/2018;2.973,12;45.698,88;48.672,00;2.028,00;10.954;41;10.995
28/11/2018;2.999,80;45.455,74;48.455,54;2.018,98;10.987;31;11.018
29/11/2018;3.198,07;45.473,93;48.672,00;2.028,00;10.564;40;10.604
30/11/2018;3.336,70;45.335,30;48.672,00;2.028,00;10.879;59;10.938
01/12/2018;2.944,15;45.727,85;48.672,00;2.028,00;8.488;184;8.672
02/12/2018;2.430,50;46.241,50;48.672,00;2.028,00;6.940;107;7.047
03/12/2018;2.609,87;46.062,13;48.672,00;2.028,00;9.440;41;9.481
04/12/2018;3.221,00;45.451,00;48.672,00;2.028,00;11.224;44;11.268
05/12/2018;3.377,35;45.294,65;48.672,00;2.028,00;11.522;46;11.568
06/12/2018;2.632,70;45.660,14;48.292,84;2.012,20;7.409;120;7.529
07/12/2018;2.687,83;45.984,17;48.672,00;2.028,00;8.305;139;8.444
08/12/2018;2.421,73;46.250,27;48.672,00;2.028,00;6.798;305;7.103
09/12/2018;2.685,97;44.443,48;47.129,45;1.963,73;7.009;251;7.260
10/12/2018;3.013,35;45.125,71;48.139,06;2.005,79;10.267;90;10.357
11/12/2018;3.159,53;45.512,47;48.672,00;2.028,00;11.084;86;11.170
12/12/2018;3.031,60;45.640,40;48.672,00;2.028,00;11.089;83;11.172
13/12/2018;2.237,33;46.434,67;48.672,00;2.028,00;7.909;19;7.928
14/12/2018;3.133,18;45.538,82;48.672,00;2.028,00;10.968;56;11.024
15/12/2018;2.816,98;45.855,02;48.672,00;2.028,00;8.427;102;8.529
16/12/2018;2.398,27;46.273,73;48.672,00;2.028,00;6.816;85;6.901
17/12/2018;2.880,15;45.791,85;48.672,00;2.028,00;10.159;62;10.221
18/12/2018;2.783,40;45.888,60;48.672,00;2.028,00;10.126;56;10.182
19/12/2018;2.987,48;45.684,52;48.672,00;2.028,00;10.440;82;10.522
20/12/2018;3.124,80;44.666,75;47.791,55;1.991,31;11.020;47;11.067
21/12/2018;2.897,82;44.275,30;47.173,12;1.965,55;10.063;69;10.132
22/12/2018;2.107,68;45.844,69;47.952,37;1.998,02;6.521;63;6.584
23/12/2018;1.687,73;46.468,04;48.155,77;2.006,49;5.046;132;5.178
24/12/2018;1.425,37;46.862,19;48.287,56;2.011,98;4.364;96;4.460
25/12/2018;1.156,28;47.108,75;48.265,03;2.011,04;2.873;152;3.025
26/12/2018;1.969,98;46.586,11;48.556,09;2.023,17;6.496;124;6.620
27/12/2018;2.101,15;46.154,69;48.255,84;2.010,66;7.282;151;7.433
28/12/2018;2.299,82;45.874,27;48.174,09;2.007,25;7.386;256;7.642
29/12/2018;1.855,88;46.063,56;47.919,44;1.996,64;5.584;250;5.834
30/12/2018;1.827,20;45.881,63;47.708,83;1.987,87;5.114;301;5.415
31/12/2018;1.594,02;45.214,57;46.808,59;1.950,36;4.718;283;5.001
01/01/2019;1.579,93;45.079,10;46.659,03;1.944,13;3.516;345;3.861
02/01/2019;1.939,40;45.968,54;47.907,94;1.996,16;6.395;166;6.561
03/01/2019;2.147,32;44.563,80;46.711,12;1.946,30;7.479;146;7.625
04/01/2019;2.242,00;44.162,04;46.404,04;1.933,50;7.787;157;7.944
05/01/2019;1.963,67;44.117,50;46.081,17;1.920,05;6.256;109;6.365
06/01/2019;1.665,42;44.807,75;46.473,17;1.936,38;4.747;114;4.861
07/01/2019;1.798,62;45.555,54;47.354,16;1.973,09;5.493;101;5.594
08/01/2019;2.434,03;44.858,94;47.292,97;1.970,54;9.411;54;9.465
09/01/2019;2.631,70;45.034,67;47.666,37;1.986,10;10.072;42;10.114
10/01/2019;2.489,70;46.114,09;48.603,79;2.025,16;9.763;41;9.804
11/01/2019;2.521,10;46.086,05;48.607,15;2.025,30;9.412;51;9.463
12/01/2019;2.182,63;46.489,37;48.672,00;2.028,00;7.008;134;7.142
13/01/2019;2.043,77;46.628,23;48.672,00;2.028,00;6.174;131;6.305
14/01/2019;2.537,17;46.134,83;48.672,00;2.028,00;9.367;44;9.411
15/01/2019;2.727,83;45.944,17;48.672,00;2.028,00;10.129;44;10.173
16/01/2019;2.571,62;46.100,38;48.672,00;2.028,00;10.210;40;10.250
17/01/2019;2.503,53;46.168,47;48.672,00;2.028,00;9.689;20;9.709
18/01/2019;2.491,23;46.180,77;48.672,00;2.028,00;9.313;51;9.364
19/01/2019;1.426,15;47.197,50;48.623,65;2.025,99;4.462;37;4.499
20/01/2019;1.859,95;45.956,16;47.816,11;1.992,34;5.421;95;5.516
21/01/2019;2.390,80;45.550,29;47.941,09;1.997,55;9.200;40;9.240
22/01/2019;2.159,45;46.512,55;48.672,00;2.028,00;8.463;33;8.496
23/01/2019;2.568,00;46.104,00;48.672,00;2.028,00;9.715;46;9.761
24/01/2019;2.851,73;45.820,27;48.672,00;2.028,00;11.076;53;11.129
25/01/2019;3.095,67;45.576,33;48.672,00;2.028,00;11.473;86;11.559
26/01/2019;2.629,42;46.042,58;48.672,00;2.028,00;8.395;204;8.599
27/01/2019;2.435,72;46.236,28;48.672,00;2.028,00;7.235;200;7.435
28/01/2019;2.743,37;45.928,63;48.672,00;2.028,00;10.032;64;10.096
29/01/2019;2.633,72;46.038,28;48.672,00;2.028,00;10.187;41;10.228
30/01/2019;2.335,75;46.336,25;48.672,00;2.028,00;9.085;25;9.110
31/01/2019;2.444,37;46.227,63;48.672,00;2.028,00;9.622;41;9.663
01/02/2019;2.347,73;46.324,27;48.672,00;2.028,00;8.478;63;8.541
02/02/2019;2.196,13;46.475,87;48.672,00;2.028,00;6.967;141;7.108
03/02/2019;2.301,27;46.370,73;48.672,00;2.028,00;6.718;205;6.923
04/02/2019;2.541,38;46.130,62;48.672,00;2.028,00;9.620;53;9.673
05/02/2019;2.830,93;45.841,07;48.672,00;2.028,00;10.834;70;10.904
06/02/2019;3.024,02;45.647,98;48.672,00;2.028,00;10.986;69;11.055
07/02/2019;3.007,27;45.664,73;48.672,00;2.028,00;11.179;122;11.301
08/02/2019;3.062,73;45.609,27;48.672,00;2.028,00;11.043;108;11.151
09/02/2019;2.446,47;46.225,53;48.672,00;2.028,00;7.766;219;7.985
10/02/2019;2.150,00;46.522,00;48.672,00;2.028,00;6.383;174;6.557
11/02/2019;2.685,65;45.986,35;48.672,00;2.028,00;10.205;124;10.329
12/02/2019;2.925,18;45.746,82;48.672,00;2.028,00;11.036;74;11.110
13/02/2019;3.040,13;45.631,87;48.672,00;2.028,00;11.401;63;11.464
14/02/2019;3.313,37;45.358,63;48.672,00;2.028,00;11.540;70;11.610
15/02/2019;3.239,22;45.432,78;48.672,00;2.028,00;11.200;172;11.372
16/02/2019;2.776,03;45.895,97;48.672,00;2.028,00;8.272;321;8.593
17/02/2019;2.582,12;46.089,88;48.672,00;2.028,00;7.433;260;7.693
18/02/2019;2.712,52;45.959,48;48.672,00;2.028,00;10.274;98;10.372
19/02/2019;2.976,08;45.695,92;48.672,00;2.028,00;11.388;94;11.482
20/02/2019;3.277,00;45.395,00;48.672,00;2.028,00;11.374;125;11.499
21/02/2019;3.180,27;45.491,73;48.672,00;2.028,00;11.758;113;11.871
22/02/2019;3.276,87;45.395,13;48.672,00;2.028,00;11.708;131;11.839
23/02/2019;2.747,03;45.924,97;48.672,00;2.028,00;8.183;305;8.488
24/02/2019;2.753,35;45.918,65;48.672,00;2.028,00;7.677;306;7.983
25/02/2019;3.153,85;45.518,15;48.672,00;2.028,00;10.858;133;10.991
26/02/2019;3.275,82;45.396,18;48.672,00;2.028,00;12.012;93;12.105
27/02/2019;3.329,03;45.342,97;48.672,00;2.028,00;12.143;92;12.235
28/02/2019;3.465,22;45.206,78;48.672,00;2.028,00;12.246;174;12.420
01/03/2019;3.411,23;45.260,77;48.672,00;2.028,00;11.959;160;12.119
02/03/2019;2.984,90;45.687,10;48.672,00;2.028,00;8.729;343;9.072
03/03/2019;2.731,20;45.940,80;48.672,00;2.028,00;7.441;382;7.823
04/03/2019;2.909,07;45.762,93;48.672,00;2.028,00;10.184;168;10.352
05/03/2019;3.171,02;45.500,98;48.672,00;2.028,00;11.557;140;11.697
06/03/2019;2.190,75;46.481,25;48.672,00;2.028,00;8.264;33;8.297
07/03/2019;2.918,88;45.753,12;48.672,00;2.028,00;11.273;41;11.314
08/03/2019;3.466,33;45.205,67;48.672,00;2.028,00;12.049;93;12.142
09/03/2019;3.031,27;45.640,73;48.672,00;2.028,00;8.538;272;8.810
10/03/2019;3.089,48;45.582,52;48.672,00;2.028,00;8.361;331;8.692
11/03/2019;3.125,50;45.546,50;48.672,00;2.028,00;11.603;139;11.742
12/03/2019;3.408,12;45.263,88;48.672,00;2.028,00;12.467;82;12.549
13/03/2019;3.154,53;45.517,47;48.672,00;2.028,00;12.114;68;12.182
14/03/2019;3.275,17;45.396,83;48.672,00;2.028,00;12.468;36;12.504
15/03/2019;3.594,28;45.077,72;48.672,00;2.028,00;12.641;127;12.768
16/03/2019;3.262,43;45.409,57;48.672,00;2.028,00;9.305;303;9.608
17/03/2019;2.947,63;45.724,37;48.672,00;2.028,00;8.264;317;8.581
18/03/2019;2.934,40;45.737,60;48.672,00;2.028,00;10.700;91;10.791
19/03/2019;3.068,25;45.603,75;48.672,00;2.028,00;11.490;64;11.554
20/03/2019;3.182,03;45.489,97;48.672,00;2.028,00;12.078;43;12.121
21/03/2019;3.284,38;45.387,62;48.672,00;2.028,00;12.283;102;12.385
22/03/2019;3.606,68;45.065,32;48.672,00;2.028,00;12.359;124;12.483
23/03/2019;2.992,03;45.679,97;48.672,00;2.028,00;8.806;348;9.154
24/03/2019;3.024,33;45.647,67;48.672,00;2.028,00;8.421;289;8.710
25/03/2019;3.109,88;45.562,12;48.672,00;2.028,00;11.643;101;11.744
26/03/2019;3.285,50;45.386,50;48.672,00;2.028,00;12.382;62;12.444
27/03/2019;3.424,97;45.247,03;48.672,00;2.028,00;12.579;48;12.627
28/03/2019;3.565,28;45.106,72;48.672,00;2.028,00;12.735;66;12.801
29/03/2019;3.501,92;45.170,08;48.672,00;2.028,00;12.201;136;12.337
30/03/2019;2.998,20;45.673,80;48.672,00;2.028,00;8.832;303;9.135
31/03/2019;2.051,13;45.748,66;47.799,79;2.078,25;6.038;109;6.147
01/04/2019;2.994,93;45.677,07;48.672,00;2.028,00;10.888;77;10.965
02/04/2019;3.116,48;45.555,52;48.672,00;2.028,00;11.884;78;11.962
03/04/2019;3.129,27;45.542,73;48.672,00;2.028,00;12.066;73;12.139
04/04/2019;3.285,07;45.386,93;48.672,00;2.028,00;12.148;64;12.212
05/04/2019;2.114,95;46.557,05;48.672,00;2.028,00;7.393;45;7.438
06/04/2019;1.967,43;46.704,57;48.672,00;2.028,00;6.157;81;6.238
07/04/2019;2.006,52;46.665,48;48.672,00;2.028,00;5.658;133;5.791
08/04/2019;2.309,12;46.362,88;48.672,00;2.028,00;8.670;67;8.737
09/04/2019;2.524,37;46.147,63;48.672,00;2.028,00;9.827;42;9.869
10/04/2019;3.099,87;45.572,13;48.672,00;2.028,00;11.477;60;11.537
11/04/2019;3.182,35;45.489,65;48.672,00;2.028,00;11.988;39;12.027
12/04/2019;3.446,70;45.225,30;48.672,00;2.028,00;11.997;90;12.087
13/04/2019;2.998,95;45.673,05;48.672,00;2.028,00;8.517;253;8.770
14/04/2019;2.911,65;45.760,35;48.672,00;2.028,00;7.717;334;8.051
15/04/2019;2.734,43;45.937,57;48.672,00;2.028,00;9.422;215;9.637
16/04/2019;2.803,15;45.868,85;48.672,00;2.028,00;9.803;205;10.008
17/04/2019;2.290,33;46.381,67;48.672,00;2.028,00;8.110;197;8.307
18/04/2019;698,8;47.973,20;48.672,00;2.028,00;1.881;20;1.901
19/04/2019;798,53;47.873,47;48.672,00;2.028,00;2.125;47;2.172
20/04/2019;1.626,83;47.045,17;48.672,00;2.028,00;4.300;266;4.566
21/04/2019;1.630,93;47.041,07;48.672,00;2.028,00;4.679;151;4.830
22/04/2019;2.729,03;45.942,97;48.672,00;2.028,00;9.984;127;10.111
23/04/2019;2.222,27;46.449,73;48.672,00;2.028,00;8.378;41;8.419
24/04/2019;988,13;47.683,87;48.672,00;2.028,00;3.130;4;3.134
25/04/2019;2.762,95;45.909,05;48.672,00;2.028,00;10.510;58;10.568
26/04/2019;3.574,63;45.097,37;48.672,00;2.028,00;12.235;140;12.375
27/04/2019;3.629,12;45.042,88;48.672,00;2.028,00;10.038;357;10.395
28/04/2019;3.522,22;45.149,78;48.672,00;2.028,00;9.501;478;9.979
29/04/2019;3.507,08;44.878,78;48.385,86;2.016,08;12.409;176;12.585
30/04/2019;3.645,33;44.565,12;48.210,45;2.008,77;12.961;160;13.121
01/05/2019;2.889,32;45.782,68;48.672,00;2.028,00;7.816;266;8.082
02/05/2019;2.767,03;45.904,97;48.672,00;2.028,00;7.566;366;7.932
03/05/2019;2.828,32;45.843,68;48.672,00;2.028,00;8.918;303;9.221
04/05/2019;2.743,08;45.928,92;48.672,00;2.028,00;7.592;484;8.076
05/05/2019;2.794,03;45.877,97;48.672,00;2.028,00;7.589;420;8.009
06/05/2019;3.349,80;45.322,20;48.672,00;2.028,00;12.143;191;12.334
07/05/2019;3.644,77;44.737,71;48.382,48;2.015,94;13.410;112;13.522
08/05/2019;3.388,17;45.283,83;48.672,00;2.028,00;12.463;100;12.563
09/05/2019;3.741,32;44.930,68;48.672,00;2.028,00;13.558;132;13.690
10/05/2019;3.893,48;44.778,52;48.672,00;2.028,00;13.632;207;13.839
11/05/2019;3.666,90;45.005,10;48.672,00;2.028,00;10.727;379;11.106
12/05/2019;3.488,42;45.133,48;48.621,90;2.025,91;9.785;376;10.161
13/05/2019;3.930,68;44.385,21;48.315,89;2.013,16;13.328;151;13.479
14/05/2019;4.202,22;44.469,78;48.672,00;2.028,00;14.816;97;14.913
15/05/2019;3.708,87;44.963,13;48.672,00;2.028,00;11.475;238;11.713
16/05/2019;3.825,15;44.846,85;48.672,00;2.028,00;13.821;135;13.956
17/05/2019;3.327,55;45.344,45;48.672,00;2.028,00;12.103;103;12.206
18/05/2019;2.937,55;45.734,45;48.672,00;2.028,00;9.054;265;9.319
19/05/2019;2.979,27;45.692,73;48.672,00;2.028,00;8.984;240;9.224
20/05/2019;3.463,32;45.208,68;48.672,00;2.028,00;12.647;133;12.780
21/05/2019;3.784,62;44.887,38;48.672,00;2.028,00;13.876;104;13.980
22/05/2019;3.922,48;44.749,52;48.672,00;2.028,00;14.443;128;14.571
23/05/2019;4.179,07;44.492,93;48.672,00;2.028,00;14.623;134;14.757
24/05/2019;4.325,00;44.899,00;49.224,00;2.051,00;14.627;189;14.816
25/05/2019;3.374,73;45.849,27;49.224,00;2.051,00;10.151;391;10.542
26/05/2019;3.354,25;45.857,44;49.211,69;2.050,49;9.984;319;10.303
27/05/2019;3.762,02;44.909,98;48.672,00;2.028,00;13.496;156;13.652
28/05/2019;3.944,22;44.999,81;48.944,03;2.039,33;14.174;100;14.274
29/05/2019;3.883,78;45.340,22;49.224,00;2.051,00;14.348;114;14.462
30/05/2019;4.303,87;44.920,13;49.224,00;2.051,00;14.865;142;15.007
31/05/2019;4.385,95;44.838,05;49.224,00;2.051,00;14.236;244;14.480
01/06/2019;3.574,75;45.572,80;49.147,55;2.047,81;10.287;304;10.591
02/06/2019;3.387,12;45.614,17;49.001,29;2.041,72;9.707;311;10.018
03/06/2019;3.835,48;44.658,47;48.493,95;2.020,58;13.646;125;13.771
04/06/2019;4.208,30;44.012,02;48.220,32;2.009,18;14.812;119;14.931
05/06/2019;4.079,27;44.858,40;48.937,67;2.039,07;14.229;102;14.331
06/06/2019;4.195,33;45.028,67;49.224,00;2.051,00;14.658;122;14.780
07/06/2019;4.025,50;45.198,50;49.224,00;2.051,00;13.696;126;13.822
08/06/2019;3.321,33;45.729,74;49.051,07;2.043,79;9.794;359;10.153
09/06/2019;3.142,32;45.112,12;48.254,44;2.010,60;9.286;271;9.557
10/06/2019;3.750,23;44.509,25;48.259,48;2.010,81;13.343;163;13.506
11/06/2019;3.779,88;45.319,78;49.099,66;2.045,82;13.696;104;13.800
12/06/2019;4.158,52;45.065,48;49.224,00;2.051,00;14.304;203;14.507
13/06/2019;4.169,67;45.054,33;49.224,00;2.051,00;14.679;158;14.837
14/06/2019;4.116,13;45.107,87;49.224,00;2.051,00;14.176;133;14.309
15/06/2019;3.133,97;46.090,03;49.224,00;2.051,00;9.586;260;9.846
16/06/2019;3.104,90;45.974,06;49.078,96;2.044,96;8.858;278;9.136
17/06/2019;3.895,27;45.328,73;49.224,00;2.051,00;13.436;124;13.560
18/06/2019;4.096,85;45.050,00;49.146,85;2.047,79;14.703;140;14.843
19/06/2019;4.151,62;45.550,24;49.701,86;2.070,91;14.794;133;14.927
20/06/2019;4.196,35;45.989,02;50.185,37;2.091,06;15.206;84;15.290
21/06/2019;4.116,18;45.452,54;49.568,72;2.065,36;14.380;122;14.502
22/06/2019;2.950,60;46.438,77;49.389,37;2.057,89;9.596;220;9.816
23/06/2019;3.081,12;46.340,25;49.421,37;2.059,22;9.154;270;9.424
24/06/2019;3.705,37;45.556,83;49.262,20;2.052,59;13.494;136;13.630
25/06/2019;4.007,45;45.056,82;49.064,27;2.044,34;14.697;162;14.859
26/06/2019;4.123,08;43.880,43;48.003,51;2.000,15;14.894;124;15.018
27/06/2019;4.121,63;43.499,23;47.620,86;1.984,20;14.799;100;14.899
28/06/2019;3.773,35;43.605,38;47.378,73;1.974,11;13.709;121;13.830
29/06/2019;2.949,07;44.115,14;47.064,21;1.961,01;9.292;184;9.476
30/06/2019;2.665,18;43.683,35;46.348,53;1.931,19;8.453;179;8.632
01/07/2019;3.232,02;41.857,13;45.089,15;1.878,71;11.747;83;11.830
02/07/2019;3.858,57;40.886,22;44.744,79;1.864,37;14.110;120;14.230
03/07/2019;3.986,33;40.820,32;44.806,65;1.866,94;14.287;99;14.386
04/07/2019;4.077,85;40.421,88;44.499,73;1.854,16;14.480;149;14.629
05/07/2019;3.882,38;40.314,89;44.197,27;1.841,55;13.325;113;13.438
06/07/2019;2.792,38;40.746,20;43.538,58;1.814,11;8.568;145;8.713
07/07/2019;2.817,07;40.316,41;43.133,48;1.797,23;7.882;159;8.041
08/07/2019;3.581,88;40.855,27;44.437,15;1.851,55;12.644;139;12.783
09/07/2019;3.807,43;39.684,31;43.491,74;1.812,16;13.842;156;13.998
10/07/2019;3.706,18;38.954,02;42.660,20;1.777,51;14.007;135;14.142
11/07/2019;3.734,15;38.149,28;41.883,43;1.745,14;13.792;105;13.897
12/07/2019;3.502,37;38.594,93;42.097,30;1.754,05;12.531;106;12.637
13/07/2019;2.496,72;39.330,20;41.826,92;1.742,79;8.058;192;8.250
14/07/2019;2.531,25;39.567,12;42.098,37;1.754,10;7.637;182;7.819
15/07/2019;3.295,38;38.394,94;41.690,32;1.737,10;12.117;68;12.185
16/07/2019;3.654,03;37.576,14;41.230,17;1.717,92;13.346;99;13.445
17/07/2019;3.841,50;38.240,85;42.082,35;1.753,43;13.831;135;13.966
18/07/2019;3.737,68;38.522,90;42.260,58;1.760,86;13.917;114;14.031
19/07/2019;3.409,27;38.952,47;42.361,74;1.765,07;12.398;111;12.509
20/07/2019;2.317,43;40.393,58;42.711,01;1.779,63;7.641;205;7.846
21/07/2019;2.230,17;40.334,62;42.564,79;1.773,53;7.049;144;7.193
22/07/2019;3.275,02;39.619,51;42.894,53;1.787,27;12.109;138;12.247
23/07/2019;3.296,40;39.705,66;43.002,06;1.791,75;12.242;71;12.313
24/07/2019;3.665,85;39.679,51;43.345,36;1.806,06;13.379;95;13.474
25/07/2019;3.579,70;39.897,76;43.477,46;1.811,56;13.264;115;13.379
26/07/2019;3.422,10;40.684,38;44.106,48;1.837,77;12.161;117;12.278
27/07/2019;2.518,50;41.436,61;43.955,11;1.831,46;7.781;205;7.986
28/07/2019;2.411,33;42.018,34;44.429,67;1.851,24;7.213;195;7.408
29/07/2019;3.204,60;40.884,34;44.088,94;1.837,04;11.814;80;11.894
30/07/2019;3.536,72;40.406,58;43.943,30;1.830,97;12.652;112;12.764
31/07/2019;3.380,18;40.145,06;43.525,24;1.813,55;12.465;75;12.540
01/08/2019;3.340,60;39.467,65;42.808,25;1.783,68;12.183;123;12.306
02/08/2019;2.976,42;39.517,07;42.493,49;1.770,56;10.746;113;10.859
03/08/2019;2.175,30;40.382,35;42.557,65;1.773,24;6.807;183;6.990
04/08/2019;2.194,05;40.918,55;43.112,60;1.796,36;6.350;261;6.611
05/08/2019;2.638,47;40.710,59;43.349,06;1.806,21;9.547;187;9.734
06/08/2019;2.939,23;40.316,90;43.256,13;1.802,34;10.500;158;10.658
07/08/2019;3.115,30;40.295,02;43.410,32;1.808,76;10.754;195;10.949
08/08/2019;3.019,25;40.293,42;43.312,67;1.804,69;10.447;90;10.537
09/08/2019;2.729,60;40.570,03;43.299,63;1.804,15;9.229;135;9.364
10/08/2019;1.932,58;41.777,42;43.710,00;1.821,25;6.065;138;6.203
11/08/2019;1.902,75;41.898,56;43.801,31;1.825,05;5.636;186;5.822
12/08/2019;2.419,43;41.472,77;43.892,20;1.828,84;8.411;80;8.491
13/08/2019;2.532,33;41.345,09;43.877,42;1.828,23;8.811;84;8.895
14/08/2019;2.437,47;41.856,72;44.294,19;1.845,59;8.541;73;8.614
15/08/2019;1.882,93;42.335,44;44.218,37;1.842,43;5.652;144;5.796
16/08/2019;1.955,02;43.209,63;45.164,65;1.881,86;6.497;130;6.627
17/08/2019;1.612,68;44.220,06;45.832,74;1.909,70;5.249;99;5.348
18/08/2019;1.780,45;43.672,99;45.453,44;1.893,89;5.223;108;5.331
19/08/2019;2.427,10;42.858,11;45.285,21;1.886,88;8.659;83;8.742
20/08/2019;2.622,85;43.668,25;46.291,10;1.928,80;9.296;84;9.380
21/08/2019;2.746,60;43.875,87;46.622,47;1.942,60;9.654;133;9.787
22/08/2019;2.823,02;43.873,96;46.696,98;1.945,71;10.007;152;10.159
