DIA;Usos bicis abono anual ;Usos bicis abono ocasional ;Usos bicis total;;Usos abono anual acumulado;Usos abono ocasional acumulado;Usos total acumulado desde inicio;;Acumulado mes total;;;;;;;;;
9/29/18;11.742;401;12.143;;12.379.628;268.898;12.648.526;;;;;;;;;;;
9/30/18;10.948;415;11.363;;12.390.576;269.313;12.659.889;;415.864;;;;;;;;;
10/1/18;14.116;284;14.400;;12.404.692;269.597;12.674.289;;;;;;;;;;;
10/2/18;14.888;135;15.023;;12.419.580;269.732;12.689.312;;;;;;;;;;;
10/3/18;15.777;143;15.920;;12.435.357;269.875;12.705.232;;;;;;;;;;;
10/4/18;15.600;148;15.748;;12.450.957;270.023;12.720.980;;;;;;;;;;;
10/5/18;15.106;192;15.298;;12.466.063;270.215;12.736.278;;;;;;;;;;;
10/6/18;11.792;368;12.160;;12.477.855;270.583;12.748.438;;;;;;;;;;;
10/7/18;9864;348;10.212;;12.487.719;270.931;12.758.650;;;;;;;;;;;
10/8/18;13.326;119;13.445;;12.501.045;271.050;12.772.095;;;;;;;;;;;
10/9/18;11.608;85;11.693;;12.512.653;271.135;12.783.788;;;;;;;;;;;
10/10/18;12.457;47;12.504;;12.525.110;271.182;12.796.292;;;;;;;;;;;
10/11/18;11.746;57;11.803;;12.536.856;271.239;12.808.095;;;;;;;;;;;
10/12/18;7850;191;8041;;12.544.706;271.430;12.816.136;;;;;;;;;;;
10/13/18;8993;393;9386;;12.553.699;271.823;12.825.522;;;;;;;;;;;
10/14/18;6887;199;7086;;12.560.586;272.022;12.832.608;;;;;;;;;;;
10/15/18;10.699;63;10.762;;12.571.285;272.085;12.843.370;;;;;;;;;;;
10/16/18;13.630;80;13.710;;12.584.915;272.165;12.857.080;;;;;;;;;;;
10/17/18;14.430;98;14.528;;12.599.345;272.263;12.871.608;;;;;;;;;;;
10/18/18;12.791;102;12.893;;12.612.136;272.365;12.884.501;;;;;;;;;;;
10/19/18;7216;68;7284;;12.619.352;272.433;12.891.785;;;;;;;;;;;
10/20/18;8357;248;8605;;12.627.709;272.681;12.900.390;;;;;;;;;;;
10/21/18;8955;242;9197;;12.636.664;272.923;12.909.587;;;;;;;;;;;
10/22/18;13.226;127;13.353;;12.649.890;273.050;12.922.940;;;;;;;;;;;
10/23/18;14.081;136;14.217;;12.663.971;273.186;12.937.157;;;;;;;;;;;
10/24/18;14.240;102;14.342;;12.678.211;273.288;12.951.499;;;;;;;;;;;
10/25/18;14.618;150;14.768;;12.692.829;273.438;12.966.267;;;;;;;;;;;
10/26/18;11.387;126;11.513;;12.704.216;273.564;12.977.780;;;;;;;;;;;
10/27/18;6619;81;6700;;12.710.835;273.645;12.984.480;;;;;;;;;;;
10/28/18;6796;161;6957;;12.717.631;273.806;12.991.437;;;;;;;;;;;
10/29/18;10.216;64;10.280;;12.727.847;273.870;13.001.717;;;;;;;;;;;
10/30/18;5125;8;5133;;12.732.972;273.878;13.006.850;;;;;;;;;;;
10/31/18;10.451;40;10.491;;12.743.423;273.918;13.017.341;;357.452;;;;;;;;;
11/1/18;7812;225;8037;;12.751.235;274.143;13.025.378;;;;;;;;;;;
11/2/18;9846;253;10.099;;12.761.081;274.396;13.035.477;;;;;;;;;;;
11/3/18;8019;252;8271;;12.769.100;274.648;13.043.748;;;;;;;;;;;
11/4/18;7271;247;7518;;12.776.371;274.895;13.051.266;;;;;;;;;;;
11/5/18;6401;33;6434;;12.782.772;274.928;13.057.700;;;;;;;;;;;
11/6/18;10.699;79;10.778;;12.793.471;275.007;13.068.478;;;;;;;;;;;
11/7/18;7897;27;7924;;12.801.368;275.034;13.076.402;;;;;;;;;;;
11/8/18;8733;24;8757;;12.810.101;275.058;13.085.159;;;;;;;;;;;
11/9/18;6992;109;7101;;12.817.093;275.167;13.092.260;;;;;;;;;;;
11/10/18;6285;109;6394;;12.823.378;275.276;13.098.654;;;;;;;;;;;
11/11/18;6781;189;6970;;12.830.159;275.465;13.105.624;;;;;;;;;;;
11/12/18;9717;20;9737;;12.839.876;275.485;13.115.361;;;;;;;;;;;
11/13/18;12.299;82;12.381;;12.852.175;275.567;13.127.742;;;;;;;;;;;
11/14/18;12.163;71;12.234;;12.864.338;275.638;13.139.976;;;;;;;;;;;
11/15/18;11.935;48;11.983;;12.876.273;275.686;13.151.959;;;;;;;;;;;
11/16/18;11.105;97;11.202;;12.887.378;275.783;13.163.161;;;;;;;;;;;
11/17/18;9448;311;9759;;12.896.826;276.094;13.172.920;;;;;;;;;;;
11/18/18;5322;103;5425;;12.902.148;276.197;13.178.345;;;;;;;;;;;
11/19/18;9875;68;9943;;12.912.023;276.265;13.188.288;;;;;;;;;;;
11/20/18;9104;27;9131;;12.921.127;276.292;13.197.419;;;;;;;;;;;
11/21/18;10.042;29;10.071;;12.931.169;276.321;13.207.490;;;;;;;;;;;
11/22/18;11.236;20;11.256;;12.942.405;276.341;13.218.746;;;;;;;;;;;
11/23/18;10.833;79;10.912;;12.953.238;276.420;13.229.658;;;;;;;;;;;
11/24/18;7634;168;7802;;12.960.872;276.588;13.237.460;;;;;;;;;;;
11/25/18;6042;131;6173;;12.966.914;276.719;13.243.633;;;;;;;;;;;
11/26/18;9876;61;9937;;12.976.790;276.780;13.253.570;;;;;;;;;;;
11/27/18;10.954;41;10.995;;12.987.744;276.821;13.264.565;;;;;;;;;;;
11/28/18;10.987;31;11.018;;12.998.731;276.852;13.275.583;;;;;;;;;;;
11/29/18;10.564;40;10.604;;13.009.295;276.892;13.286.187;;;;;;;;;;;
11/30/18;10.879;59;10.938;;13.020.174;276.951;13.297.125;;279.784;;;;;;;;;
12/1/18;8488;184;8672;;13.028.662;277.135;13.305.797;;;;;;;;;;;
12/2/18;6940;107;7047;;13.035.602;277.242;13.312.844;;;;;;;;;;;
12/3/18;9440;41;9481;;13.045.042;277.283;13.322.325;;;;;;;;;;;
12/4/18;11.224;44;11.268;;13.056.266;277.327;13.333.593;;;;;;;;;;;
12/5/18;11.522;46;11.568;;13.067.788;277.373;13.345.161;;;;;;;;;;;
12/6/18;7409;120;7529;;13.075.197;277.493;13.352.690;;;;;;;;;;;
12/7/18;8305;139;8444;;13.083.502;277.632;13.361.134;;;;;;;;;;;
12/8/18;6798;305;7103;;13.090.300;277.937;13.368.237;;;;;;;;;;;
12/9/18;7009;251;7260;;13.097.309;278.188;13.375.497;;;;;;;;;;;
12/10/18;10.267;90;10.357;;13.107.576;278.278;13.385.854;;;;;;;;;;;
12/11/18;11.084;86;11.170;;13.118.660;278.364;13.397.024;;;;;;;;;;;
12/12/18;11.089;83;11.172;;13.129.749;278.447;13.408.196;;;;;;;;;;;
12/13/18;7909;19;7928;;13.137.658;278.466;13.416.124;;;;;;;;;;;
12/14/18;10.968;56;11.024;;13.148.626;278.522;13.427.148;;;;;;;;;;;
12/15/18;8427;102;8529;;13.157.053;278.624;13.435.677;;;;;;;;;;;
12/16/18;6816;85;6901;;13.163.869;278.709;13.442.578;;;;;;;;;;;
12/17/18;10.159;62;10.221;;13.174.028;278.771;13.452.799;;;;;;;;;;;
12/18/18;10.126;56;10.182;;13.184.154;278.827;13.462.981;;;;;;;;;;;
12/19/18;10.440;82;10.522;;13.194.594;278.909;13.473.503;;;;;;;;;;;
12/20/18;11.020;47;11.067;;13.205.614;278.956;13.484.570;;;;;;;;;;;
12/21/18;10.063;69;10.132;;13.215.677;279.025;13.494.702;;;;;;;;;;;
12/22/18;6521;63;6584;;13.222.198;279.088;13.501.286;;;;;;;;;;;
12/23/18;5046;132;5178;;13.227.244;279.220;13.506.464;;;;;;;;;;;
12/24/18;4364;96;4460;;13.231.608;279.316;13.510.924;;;;;;;;;;;
12/25/18;2873;152;3025;;13.234.481;279.468;13.513.949;;;;;;;;;;;
12/26/18;6496;124;6620;;13.240.977;279.592;13.520.569;;;;;;;;;;;
12/27/18;7282;151;7433;;13.248.259;279.743;13.528.002;;;;;;;;;;;
12/28/18;7386;256;7642;;13.255.645;279.999;13.535.644;;;;;;;;;;;
12/29/18;5584;250;5834;;13.261.229;280.249;13.541.478;;;;;;;;;;;
12/30/18;5114;301;5415;;13.266.343;280.550;13.546.893;;;;;;;;;;;
12/31/18;4718;283;5001;;13.271.061;280.833;13.551.894;;254.769;;;;;;;;;
1/1/19;3516;345;3861;;13.274.577;281.178;13.555.755;;;;;;;;;;;
1/2/19;6395;166;6561;;13.280.972;281.344;13.562.316;;;;;;;;;;;
1/3/19;7479;146;7625;;13.288.451;281.490;13.569.941;;;;;;;;;;;
1/4/19;7787;157;7944;;13.296.238;281.647;13.577.885;;;;;;;;;;;
1/5/19;6256;109;6365;;13.302.494;281.756;13.584.250;;;;;;;;;;;
1/6/19;4747;114;4861;;13.307.241;281.870;13.589.111;;;;;;;;;;;
1/7/19;5493;101;5594;;13.312.734;281.971;13.594.705;;;;;;;;;;;
1/8/19;9411;54;9465;;13.322.145;282.025;13.604.170;;;;;;;;;;;
1/9/19;10.072;42;10.114;;13.332.217;282.067;13.614.284;;;;;;;;;;;
1/10/19;9763;41;9804;;13.341.980;282.108;13.624.088;;;;;;;;;;;
1/11/19;9412;51;9463;;13.351.392;282.159;13.633.551;;;;;;;;;;;
1/12/19;7008;134;7142;;13.358.400;282.293;13.640.693;;;;;;;;;;;
1/13/19;6174;131;6305;;13.364.574;282.424;13.646.998;;;;;;;;;;;
1/14/19;9367;44;9411;;13.373.941;282.468;13.656.409;;;;;;;;;;;
1/15/19;10.129;44;10.173;;13.384.070;282.512;13.666.582;;;;;;;;;;;
1/16/19;10.210;40;10.250;;13.394.280;282.552;13.676.832;;;;;;;;;;;
1/17/19;9689;20;9709;;13.403.969;282.572;13.686.541;;;;;;;;;;;
1/18/19;9313;51;9364;;13.413.282;282.623;13.695.905;;;;;;;;;;;
1/19/19;4462;37;4499;;13.417.744;282.660;13.700.404;;;;;;;;;;;
1/20/19;5421;95;5516;;13.423.165;282.755;13.705.920;;;;;;;;;;;
1/21/19;9200;40;9240;;13.432.365;282.795;13.715.160;;;;;;;;;;;
1/22/19;8463;33;8496;;13.440.828;282.828;13.723.656;;;;;;;;;;;
1/23/19;9715;46;9761;;13.450.543;282.874;13.733.417;;;;;;;;;;;
1/24/19;11.076;53;11.129;;13.461.619;282.927;13.744.546;;;;;;;;;;;
1/25/19;11.473;86;11.559;;13.473.092;283.013;13.756.105;;;;;;;;;;;
1/26/19;8395;204;8599;;13.481.487;283.217;13.764.704;;;;;;;;;;;
1/27/19;7235;200;7435;;13.488.722;283.417;13.772.139;;;;;;;;;;;
1/28/19;10.032;64;10.096;;13.498.754;283.481;13.782.235;;;;;;;;;;;
1/29/19;10.187;41;10.228;;13.508.941;283.522;13.792.463;;;;;;;;;;;
1/30/19;9085;25;9110;;13.518.026;283.547;13.801.573;;;;;;;;;;;
1/31/19;9622;41;9663;;13.527.648;283.588;13.811.236;;259.342;;;;;;;;;
2/1/19;8478;63;8541;;13.536.126;283.651;13.819.777;;;;;;;;;;;
2/2/19;6967;141;7108;;13.543.093;283.792;13.826.885;;;;;;;;;;;
2/3/19;6718;205;6923;;13.549.811;283.997;13.833.808;;;;;;;;;;;
2/4/19;9620;53;9673;;13.559.431;284.050;13.843.481;;;;;;;;;;;
2/5/19;10.834;70;10.904;;13.570.265;284.120;13.854.385;;;;;;;;;;;
2/6/19;10.986;69;11.055;;13.581.251;284.189;13.865.440;;;;;;;;;;;
2/7/19;11.179;122;11.301;;13.592.430;284.311;13.876.741;;;;;;;;;;;
2/8/19;11.043;108;11.151;;13.603.473;284.419;13.887.892;;;;;;;;;;;
2/9/19;7766;219;7985;;13.611.239;284.638;13.895.877;;;;;;;;;;;
2/10/19;6383;174;6557;;13.617.622;284.812;13.902.434;;;;;;;;;;;
2/11/19;10.205;124;10.329;;13.627.827;284.936;13.912.763;;;;;;;;;;;
2/12/19;11.036;74;11.110;;13.638.863;285.010;13.923.873;;;;;;;;;;;
2/13/19;11.401;63;11.464;;13.650.264;285.073;13.935.337;;;;;;;;;;;
2/14/19;11.540;70;11.610;;13.661.804;285.143;13.946.947;;;;;;;;;;;
2/15/19;11.200;172;11.372;;13.673.004;285.315;13.958.319;;;;;;;;;;;
2/16/19;8272;321;8593;;13.681.276;285.636;13.966.912;;;;;;;;;;;
2/17/19;7433;260;7693;;13.688.709;285.896;13.974.605;;;;;;;;;;;
2/18/19;10.274;98;10.372;;13.698.983;285.994;13.984.977;;;;;;;;;;;
2/19/19;11.388;94;11.482;;13.710.371;286.088;13.996.459;;;;;;;;;;;
2/20/19;11.374;125;11.499;;13.721.745;286.213;14.007.958;;;;;;;;;;;
2/21/19;11.758;113;11.871;;13.733.503;286.326;14.019.829;;;;;;;;;;;
2/22/19;11.708;131;11.839;;13.745.211;286.457;14.031.668;;;;;;;;;;;
2/23/19;8183;305;8488;;13.753.394;286.762;14.040.156;;;;;;;;;;;
2/24/19;7677;306;7983;;13.761.071;287.068;14.048.139;;;;;;;;;;;
2/25/19;10.858;133;10.991;;13.771.929;287.201;14.059.130;;;;;;;;;;;
2/26/19;12.012;93;12.105;;13.783.941;287.294;14.071.235;;;;;;;;;;;
2/27/19;12.143;92;12.235;;13.796.084;287.386;14.083.470;;;;;;;;;;;
2/28/19;12.246;174;12.420;;13.808.330;287.560;14.095.890;;284.654;;;;;;;;;
3/1/19;11.959;160;12.119;;13.820.289;287.720;14.108.009;;;;;;;;;;;
3/2/19;8729;343;9072;;13.829.018;288.063;14.117.081;;;;;;;;;;;
3/3/19;7441;382;7823;;13.836.459;288.445;14.124.904;;;;;;;;;;;
3/4/19;10.184;168;10.352;;13.846.643;288.613;14.135.256;;;;;;;;;;;
3/5/19;11.557;140;11.697;;13.858.200;288.753;14.146.953;;;;;;;;;;;
3/6/19;8264;33;8297;;13.866.464;288.786;14.155.250;;;;;;;;;;;
3/7/19;11.273;41;11.314;;13.877.737;288.827;14.166.564;;;;;;;;;;;
3/8/19;12.049;93;12.142;;13.889.786;288.920;14.178.706;;;;;;;;;;;
3/9/19;8538;272;8810;;13.898.324;289.192;14.187.516;;;;;;;;;;;
3/10/19;8361;331;8692;;13.906.685;289.523;14.196.208;;;;;;;;;;;
3/11/19;11.603;139;11.742;;13.918.288;289.662;14.207.950;;;;;;;;;;;
3/12/19;12.467;82;12.549;;13.930.755;289.744;14.220.499;;;;;;;;;;;
3/13/19;12.114;68;12.182;;13.942.869;289.812;14.232.681;;;;;;;;;;;
3/14/19;12.468;36;12.504;;13.955.337;289.848;14.245.185;;;;;;;;;;;
3/15/19;12.641;127;12.768;;13.967.978;289.975;14.257.953;;;;;;;;;;;
3/16/19;9305;303;9608;;13.977.283;290.278;14.267.561;;;;;;;;;;;
3/17/19;8264;317;8581;;13.985.547;290.595;14.276.142;;;;;;;;;;;
3/18/19;10.700;91;10.791;;13.996.247;290.686;14.286.933;;;;;;;;;;;
3/19/19;11.490;64;11.554;;14.007.737;290.750;14.298.487;;;;;;;;;;;
3/20/19;12.078;43;12.121;;14.019.815;290.793;14.310.608;;;;;;;;;;;
3/21/19;12.283;102;12.385;;14.032.098;290.895;14.322.993;;;;;;;;;;;
3/22/19;12.359;124;12.483;;14.044.457;291.019;14.335.476;;;;;;;;;;;
3/23/19;8806;348;9154;;14.053.263;291.367;14.344.630;;;;;;;;;;;
3/24/19;8421;289;8710;;14.061.684;291.656;14.353.340;;;;;;;;;;;
3/25/19;11.643;101;11.744;;14.073.327;291.757;14.365.084;;;;;;;;;;;
3/26/19;12.382;62;12.444;;14.085.709;291.819;14.377.528;;;;;;;;;;;
3/27/19;12.579;48;12.627;;14.098.288;291.867;14.390.155;;;;;;;;;;;
3/28/19;12.735;66;12.801;;14.111.023;291.933;14.402.956;;;;;;;;;;;
3/29/19;12.201;136;12.337;;14.123.224;292.069;14.415.293;;;;;;;;;;;
3/30/19;8832;303;9135;;14.132.056;292.372;14.424.428;;;;;;;;;;;
3/31/19;6038;109;6147;;14.138.094;292.481;14.430.575;;334.685;;;;;;;;;
4/1/19;10.888;77;10.965;;14.148.982;292.558;14.441.540;;;;;;;;;;;
4/2/19;11.884;78;11.962;;14.160.866;292.636;14.453.502;;;;;;;;;;;
4/3/19;12.066;73;12.139;;14.172.932;292.709;14.465.641;;;;;;;;;;;
4/4/19;12.148;64;12.212;;14.185.080;292.773;14.477.853;;;;;;;;;;;
4/5/19;7393;45;7438;;14.192.473;292.818;14.485.291;;;;;;;;;;;
4/6/19;6157;81;6238;;14.198.630;292.899;14.491.529;;;;;;;;;;;
4/7/19;5658;133;5791;;14.204.288;293.032;14.497.320;;;;;;;;;;;
4/8/19;8670;67;8737;;14.212.958;293.099;14.506.057;;;;;;;;;;;
4/9/19;9827;42;9869;;14.222.785;293.141;14.515.926;;;;;;;;;;;
4/10/19;11.477;60;11.537;;14.234.262;293.201;14.527.463;;;;;;;;;;;
4/11/19;11.988;39;12.027;;14.246.250;293.240;14.539.490;;;;;;;;;;;
4/12/19;11.997;90;12.087;;14.258.247;293.330;14.551.577;;;;;;;;;;;
4/13/19;8517;253;8770;;14.266.764;293.583;14.560.347;;;;;;;;;;;
4/14/19;7717;334;8051;;14.274.481;293.917;14.568.398;;;;;;;;;;;
4/15/19;9422;215;9637;;14.283.903;294.132;14.578.035;;;;;;;;;;;
4/16/19;9803;205;10.008;;14.293.706;294.337;14.588.043;;;;;;;;;;;
4/17/19;8110;197;8307;;14.301.816;294.534;14.596.350;;;;;;;;;;;
4/18/19;1881;20;1901;;14.303.697;294.554;14.598.251;;;;;;;;;;;
4/19/19;2125;47;2172;;14.305.822;294.601;14.600.423;;;;;;;;;;;
4/20/19;4300;266;4566;;14.310.122;294.867;14.604.989;;;;;;;;;;;
4/21/19;4679;151;4830;;14.314.801;295.018;14.609.819;;;;;;;;;;;
4/22/19;9984;127;10.111;;14.324.785;295.145;14.619.930;;;;;;;;;;;
4/23/19;8378;41;8419;;14.333.163;295.186;14.628.349;;;;;;;;;;;
4/24/19;3130;4;3134;;14.336.293;295.190;14.631.483;;;;;;;;;;;
4/25/19;10.510;58;10.568;;14.346.803;295.248;14.642.051;;;;;;;;;;;
4/26/19;12.235;140;12.375;;14.359.038;295.388;14.654.426;;;;;;;;;;;
4/27/19;10.038;357;10.395;;14.369.076;295.745;14.664.821;;;;;;;;;;;
4/28/19;9501;478;9979;;14.378.577;296.223;14.674.800;;;;;;;;;;;
4/29/19;12.409;176;12.585;;14.390.986;296.399;14.687.385;;;;;;;;;;;
4/30/19;12.961;160;13.121;;14.403.947;296.559;14.700.506;;269.931;;;;;;;;;
5/1/19;7816;266;8082;;14.411.763;296.825;14.708.588;;;;;;;;;;;
5/2/19;7566;366;7932;;14.419.329;297.191;14.716.520;;;;;;;;;;;
5/3/19;8918;303;9221;;14.428.247;297.494;14.725.741;;;;;;;;;;;
5/4/19;7592;484;8076;;14.435.839;297.978;14.733.817;;;;;;;;;;;
5/5/19;7589;420;8009;;14.443.428;298.398;14.741.826;;;;;;;;;;;
5/6/19;12.143;191;12.334;;14.455.571;298.589;14.754.160;;;;;;;;;;;
5/7/19;13.410;112;13.522;;14.468.981;298.701;14.767.682;;;;;;;;;;;
5/8/19;12.463;100;12.563;;14.481.444;298.801;14.780.245;;;;;;;;;;;
5/9/19;13.558;132;13.690;;14.495.002;298.933;14.793.935;;;;;;;;;;;
5/10/19;13.632;207;13.839;;14.508.634;299.140;14.807.774;;;;;;;;;;;
5/11/19;10.727;379;11.106;;14.519.361;299.519;14.818.880;;;;;;;;;;;
5/12/19;9785;376;10.161;;14.529.146;299.895;14.829.041;;;;;;;;;;;
5/13/19;13.328;151;13.479;;14.542.474;300.046;14.842.520;;;;;;;;;;;
5/14/19;14.816;97;14.913;;14.557.290;300.143;14.857.433;;;;;;;;;;;
5/15/19;11.475;238;11.713;;14.568.765;300.381;14.869.146;;;;;;;;;;;
5/16/19;13.821;135;13.956;;14.582.586;300.516;14.883.102;;;;;;;;;;;
5/17/19;12.103;103;12.206;;14.594.689;300.619;14.895.308;;;;;;;;;;;
5/18/19;9054;265;9319;;14.603.743;300.884;14.904.627;;;;;;;;;;;
5/19/19;8984;240;9224;;14.612.727;301.124;14.913.851;;;;;;;;;;;
5/20/19;12.647;133;12.780;;14.625.374;301.257;14.926.631;;;;;;;;;;;
5/21/19;13.876;104;13.980;;14.639.250;301.361;14.940.611;;;;;;;;;;;
5/22/19;14.443;128;14.571;;14.653.693;301.489;14.955.182;;;;;;;;;;;
5/23/19;14.623;134;14.757;;14.668.316;301.623;14.969.939;;;;;;;;;;;
5/24/19;14.627;189;14.816;;14.682.943;301.812;14.984.755;;;;;;;;;;;
5/25/19;10.151;391;10.542;;14.693.094;302.203;14.995.297;;;;;;;;;;;
5/26/19;9984;319;10.303;;14.703.078;302.522;15.005.600;;;;;;;;;;;
5/27/19;13.496;156;13.652;;14.716.574;302.678;15.019.252;;;;;;;;;;;
5/28/19;14.174;100;14.274;;14.730.748;302.778;15.033.526;;;;;;;;;;;
5/29/19;14.348;114;14.462;;14.745.096;302.892;15.047.988;;;;;;;;;;;
5/30/19;14.865;142;15.007;;14.759.961;303.034;15.062.995;;;;;;;;;;;
5/31/19;14.236;244;14.480;;14.774.197;303.278;15.077.475;;376.969;;;;;;;;;
6/1/19;10.287;304;10.591;;14.784.484;303.582;15.088.066;;;;;;;;;;;
6/2/19;9707;311;10.018;;14.794.191;303.893;15.098.084;;;;;;;;;;;
6/3/19;13.646;125;13.771;;14.807.837;304.018;15.111.855;;;;;;;;;;;
6/4/19;14.812;119;14.931;;14.822.649;304.137;15.126.786;;;;;;;;;;;
6/5/19;14.229;102;14.331;;14.836.878;304.239;15.141.117;;;;;;;;;;;
6/6/19;14.658;122;14.780;;14.851.536;304.361;15.155.897;;;;;;;;;;;
6/7/19;13.696;126;13.822;;14.865.232;304.487;15.169.719;;;;;;;;;;;
6/8/19;9794;359;10.153;;14.875.026;304.846;15.179.872;;;;;;;;;;;
6/9/19;9286;271;9557;;14.884.312;305.117;15.189.429;;;;;;;;;;;
6/10/19;13.344;162;13.506;;14.897.656;305.279;15.202.935;;;;;;;;;;;
6/11/19;13.696;104;13.800;;14.911.352;305.383;15.216.735;;;;;;;;;;;
6/12/19;14.304;203;14.507;;14.925.656;305.586;15.231.242;;;;;;;;;;;
6/13/19;14.680;157;14.837;;14.940.336;305.743;15.246.079;;;;;;;;;;;
6/14/19;14.177;132;14.309;;14.954.513;305.875;15.260.388;;;;;;;;;;;
6/15/19;9586;260;9846;;14.964.099;306.135;15.270.234;;;;;;;;;;;
6/16/19;8859;277;9136;;14.972.958;306.412;15.279.370;;;;;;;;;;;
6/17/19;13.436;124;13.560;;14.986.394;306.536;15.292.930;;;;;;;;;;;
6/18/19;14.703;140;14.843;;15.001.097;306.676;15.307.773;;;;;;;;;;;
6/19/19;14.794;133;14.927;;15.015.891;306.809;15.322.700;;;;;;;;;;;
6/20/19;15.206;84;15.290;;15.031.097;306.893;15.337.990;;;;;;;;;;;
6/21/19;14.380;122;14.502;;15.045.477;307.015;15.352.492;;;;;;;;;;;
6/22/19;9596;220;9816;;15.055.073;307.235;15.362.308;;;;;;;;;;;
6/23/19;9154;270;9424;;15.064.227;307.505;15.371.732;;;;;;;;;;;
6/24/19;13.495;135;13.630;;15.077.722;307.640;15.385.362;;;;;;;;;;;
6/25/19;14.697;162;14.859;;15.092.419;307.802;15.400.221;;;;;;;;;;;
6/26/19;14.894;124;15.018;;15.107.313;307.926;15.415.239;;;;;;;;;;;
6/27/19;14.800;99;14.899;;15.122.113;308.025;15.430.138;;;;;;;;;;;
6/28/19;13.710;120;13.830;;15.135.823;308.145;15.443.968;;;;;;;;;;;
6/29/19;9293;183;9476;;15.145.116;308.328;15.453.444;;;;;;;;;;;
6/30/19;8453;179;8632;;15.153.569;308.507;15.462.076;;384.601;;;;;;;;;
7/1/19;13.338;102;13.440;;15.166.907;308.609;15.475.516;;;;;;;;;;;
7/2/19;14.110;120;14.230;;15.181.017;308.729;15.489.746;;;;;;;;;;;
7/3/19;14.287;99;14.386;;15.195.304;308.828;15.504.132;;;;;;;;;;;
7/4/19;14.480;149;14.629;;15.209.784;308.977;15.518.761;;;;;;;;;;;
7/5/19;13.325;113;13.438;;15.223.109;309.090;15.532.199;;;;;;;;;;;
7/6/19;8568;145;8713;;15.231.677;309.235;15.540.912;;;;;;;;;;;
7/7/19;7882;159;8041;;15.239.559;309.394;15.548.953;;;;;;;;;;;
7/8/19;12.644;139;12.783;;15.252.203;309.533;15.561.736;;;;;;;;;;;
7/9/19;13.842;156;13.998;;15.266.045;309.689;15.575.734;;;;;;;;;;;
7/10/19;14.007;135;14.142;;15.280.052;309.824;15.589.876;;;;;;;;;;;
7/11/19;13.792;105;13.897;;15.293.844;309.929;15.603.773;;;;;;;;;;;
7/12/19;12.531;106;12.637;;15.306.375;310.035;15.616.410;;;;;;;;;;;
7/13/19;8058;192;8250;;15.314.433;310.227;15.624.660;;;;;;;;;;;
7/14/19;7638;181;7819;;15.322.071;310.408;15.632.479;;;;;;;;;;;
7/15/19;12.117;68;12.185;;15.334.188;310.476;15.644.664;;;;;;;;;;;
7/16/19;13.346;99;13.445;;15.347.534;310.575;15.658.109;;;;;;;;;;;
7/17/19;13.831;135;13.966;;15.361.365;310.710;15.672.075;;;;;;;;;;;
7/18/19;13.917;114;14.031;;15.375.282;310.824;15.686.106;;;;;;;;;;;
7/19/19;12.398;111;12.509;;15.387.680;310.935;15.698.615;;;;;;;;;;;
7/20/19;7642;204;7846;;15.395.322;311.139;15.706.461;;;;;;;;;;;
7/21/19;7049;144;7193;;15.402.371;311.283;15.713.654;;;;;;;;;;;
7/22/19;12.110;137;12.247;;15.414.481;311.420;15.725.901;;;;;;;;;;;
7/23/19;12.242;71;12.313;;15.426.723;311.491;15.738.214;;;;;;;;;;;
7/24/19;13.379;95;13.474;;15.440.102;311.586;15.751.688;;;;;;;;;;;
7/25/19;13.265;114;13.379;;15.453.367;311.700;15.765.067;;;;;;;;;;;
7/26/19;12.163;115;12.278;;15.465.530;311.815;15.777.345;;;;;;;;;;;
7/27/19;7782;204;7986;;15.473.312;312.019;15.785.331;;;;;;;;;;;
7/28/19;7213;195;7408;;15.480.525;312.214;15.792.739;;;;;;;;;;;
7/29/19;11.815;79;11.894;;15.492.340;312.293;15.804.633;;;;;;;;;;;
7/30/19;12.653;111;12.764;;15.504.993;312.404;15.817.397;;;;;;;;;;;
7/31/19;12.465;75;12.540;;15.517.458;312.479;15.829.937;;367.861;;;;;;;;;
8/1/19;12.183;123;12.306;;15.529.641;312.602;15.842.243;;;;;;;;;;;
8/2/19;10.746;113;10.859;;15.540.387;312.715;15.853.102;;;;;;;;;;;
8/3/19;6807;183;6990;;15.547.194;312.898;15.860.092;;;;;;;;;;;
8/4/19;6350;261;6611;;15.553.544;313.159;15.866.703;;;;;;;;;;;
8/5/19;9547;187;9734;;15.563.091;313.346;15.876.437;;;;;;;;;;;
8/6/19;10.500;158;10.658;;15.573.591;313.504;15.887.095;;;;;;;;;;;
8/7/19;10.754;195;10.949;;15.584.345;313.699;15.898.044;;;;;;;;;;;
8/8/19;10.447;90;10.537;;15.594.792;313.789;15.908.581;;;;;;;;;;;
8/9/19;9229;135;9364;;15.604.021;313.924;15.917.945;;;;;;;;;;;
8/10/19;6066;137;6203;;15.610.087;314.061;15.924.148;;;;;;;;;;;
8/11/19;5636;186;5822;;15.615.723;314.247;15.929.970;;;;;;;;;;;
8/12/19;8412;79;8491;;15.624.135;314.326;15.938.461;;;;;;;;;;;
8/13/19;8811;84;8895;;15.632.946;314.410;15.947.356;;;;;;;;;;;
8/14/19;8542;72;8614;;15.641.488;314.482;15.955.970;;;;;;;;;;;
8/15/19;5653;143;5796;;15.647.141;314.625;15.961.766;;;;;;;;;;;
