Fecha;Día semana;Sab, dom, festivos;;
2/3/15;Mar;;;
2/4/15;Mié;;;
2/5/15;Jue;;;
2/6/15;Vie;;;
2/7/15;Sáb;Sáb;;
2/8/15;Dom;Dom;;
2/9/15;Lun;;;
2/10/15;Mar;;;
2/11/15;Mié;;;
2/12/15;Jue;;;
2/13/15;Vie;;;
2/14/15;Sáb;Sáb;;
2/15/15;Dom;Dom;;
2/16/15;Lun;;;
2/17/15;Mar;;;
2/18/15;Mié;;;
2/19/15;Jue;;;
2/20/15;Vie;;;
2/21/15;Sáb;Sáb;;
2/22/15;Dom;Dom;;
2/23/15;Lun;;;
2/24/15;Mar;;;
2/25/15;Mié;;;
2/26/15;Jue;;;
2/27/15;Vie;;;
2/28/15;Sáb;Sáb;;
3/1/15;Dom;Dom;;
3/2/15;Lun;;;
3/3/15;Mar;;;
3/4/15;Mié;;;
3/5/15;Jue;;;
3/6/15;Vie;;;
3/7/15;Sáb;Sáb;;
3/8/15;Dom;Dom;;
3/9/15;Lun;;;
3/10/15;Mar;;;
3/11/15;Mié;;;
3/12/15;Jue;;;
3/13/15;Vie;;;
3/14/15;Sáb;Sáb;;
3/15/15;Dom;Dom;;
3/16/15;Lun;;;
3/17/15;Mar;;;
3/18/15;Mié;;;
3/19/15;Jue;;;
3/20/15;Vie;;;
3/21/15;Sáb;Sáb;;
3/22/15;Dom;Dom;;
3/23/15;Lun;;;
3/24/15;Mar;;;
3/25/15;Mié;;;
3/26/15;Jue;;;
3/27/15;Vie;;;
3/28/15;Sáb;Sáb;;
3/29/15;Dom;Dom;;
3/30/15;Lun;;;
3/31/15;Mar;;;
4/1/15;Mié;;;
4/2/15;Jue;;;
4/3/15;Vie;;;
4/4/15;Sáb;Sáb;;
4/5/15;Dom;Dom;;
4/6/15;Lun;;;
4/7/15;Mar;;;
4/8/15;Mié;;;
4/9/15;Jue;;;
4/10/15;Vie;;;
4/11/15;Sáb;Sáb;;
4/12/15;Dom;Dom;;
4/13/15;Lun;;;
4/14/15;Mar;;;
4/15/15;Mié;;;
4/16/15;Jue;;;
4/17/15;Vie;;;
4/18/15;Sáb;Sáb;;
4/19/15;Dom;Dom;;
4/20/15;Lun;;;
4/21/15;Mar;;;
4/22/15;Mié;;;
4/23/15;Jue;;;
4/24/15;Vie;;;
4/25/15;Sáb;Sáb;;
4/26/15;Dom;Dom;;
4/27/15;Lun;;;
4/28/15;Mar;;;
4/29/15;Mié;;;
4/30/15;Jue;;;
5/1/15;Vie;;;
5/2/15;Sáb;Sáb;;
5/3/15;Dom;Dom;;
5/4/15;Lun;;;
5/5/15;Mar;;;
5/6/15;Mié;;;
5/7/15;Jue;;;
5/8/15;Vie;;;
5/9/15;Sáb;Sáb;;
5/10/15;Dom;Dom;;
5/11/15;Lun;;;
5/12/15;Mar;;;
5/13/15;Mié;;;
5/14/15;Jue;;;
5/15/15;Vie;;;
5/16/15;Sáb;Sáb;;
5/17/15;Dom;Dom;;
5/18/15;Lun;;;
5/19/15;Mar;;;
5/20/15;Mié;;;
5/21/15;Jue;;;
5/22/15;Vie;;;
5/23/15;Sáb;Sáb;;
5/24/15;Dom;Dom;;
5/25/15;Lun;;;
5/26/15;Mar;;;
5/27/15;Mié;;;
5/28/15;Jue;;;
5/29/15;Vie;;;
5/30/15;Sáb;Sáb;;
5/31/15;Dom;Dom;;
6/1/15;Lun;;;
6/2/15;Mar;;;
6/3/15;Mié;;;
6/4/15;Jue;;;
6/5/15;Vie;;;
6/6/15;Sáb;Sáb;;
6/7/15;Dom;Dom;;
6/8/15;Lun;;;
6/9/15;Mar;;;
6/10/15;Mié;;;
6/11/15;Jue;;;
6/12/15;Vie;;;
6/13/15;Sáb;Sáb;;
6/14/15;Dom;Dom;;
6/15/15;Lun;;;
6/16/15;Mar;;;
6/17/15;Mié;;;
6/18/15;Jue;;;
6/19/15;Vie;;;
6/20/15;Sáb;Sáb;;
6/21/15;Dom;Dom;;
6/22/15;Lun;;;
6/23/15;Mar;;;
6/24/15;Mié;;;
6/25/15;Jue;;;
6/26/15;Vie;;;
6/27/15;Sáb;Sáb;;
6/28/15;Dom;Dom;;
6/29/15;Lun;;;
6/30/15;Mar;;;
7/1/15;Mié;;;
7/2/15;Jue;;;
7/3/15;Vie;;;
7/4/15;Sáb;Sáb;;
7/5/15;Dom;Dom;;
7/6/15;Lun;;;
7/7/15;Mar;;;
7/8/15;Mié;;;
7/9/15;Jue;;;
7/10/15;Vie;;;
7/11/15;Sáb;Sáb;;
7/12/15;Dom;Dom;;
7/13/15;Lun;;;
7/14/15;Mar;;;
7/15/15;Mié;;;
7/16/15;Jue;;;
7/17/15;Vie;;;
7/18/15;Sáb;Sáb;;
7/19/15;Dom;Dom;;
7/20/15;Lun;;;
7/21/15;Mar;;;
7/22/15;Mié;;;
7/23/15;Jue;;;
7/24/15;Vie;;;
7/25/15;Sáb;Sáb;;
7/26/15;Dom;Dom;;
7/27/15;Lun;;;
7/28/15;Mar;;;
7/29/15;Mié;;;
7/30/15;Jue;;;
7/31/15;Vie;;;
8/1/15;Sáb;Sáb;;
8/2/15;Dom;Dom;;
8/3/15;Lun;;;
8/4/15;Mar;;;
8/5/15;Mié;;;
8/6/15;Jue;;;
8/7/15;Vie;;;
8/8/15;Sáb;Sáb;;
8/9/15;Dom;Dom;;
8/10/15;Lun;;;
8/11/15;Mar;;;
8/12/15;Mié;;;
8/13/15;Jue;;;
8/14/15;Vie;;;
8/15/15;Sáb;Sáb;;
8/16/15;Dom;Dom;;
8/17/15;Lun;;;
8/18/15;Mar;;;
8/19/15;Mié;;;
8/20/15;Jue;;;
8/21/15;Vie;;;
8/22/15;Sáb;Sáb;;
8/23/15;Dom;Dom;;
8/24/15;Lun;;;
8/25/15;Mar;;;
8/26/15;Mié;;;
8/27/15;Jue;;;
8/28/15;Vie;;;
8/29/15;Sáb;Sáb;;
8/30/15;Dom;Dom;;
8/31/15;Lun;;;
9/1/15;Mar;;;
9/2/15;Mié;;;
9/3/15;Jue;;;
9/4/15;Vie;;;
9/5/15;Sáb;Sáb;;
9/6/15;Dom;Dom;;
9/7/15;Lun;;;
9/8/15;Mar;;;
9/9/15;Mié;;;
9/10/15;Jue;;;
9/11/15;Vie;;;
9/12/15;Sáb;Sáb;;
9/13/15;Dom;Dom;;
9/14/15;Lun;;;
9/15/15;Mar;;;
9/16/15;Mié;;;
9/17/15;Jue;;;
9/18/15;Vie;;;
9/19/15;Sáb;Sáb;;
9/20/15;Dom;Dom;;
9/21/15;Lun;;;
9/22/15;Mar;;;
9/23/15;Mié;;;
9/24/15;Jue;;;
9/25/15;Vie;;;
9/26/15;Sáb;Sáb;;
9/27/15;Dom;Dom;;
9/28/15;Lun;;;
9/29/15;Mar;;;
9/30/15;Mié;;;
10/1/15;Jue;;;
10/2/15;Vie;;;
10/3/15;Sáb;Sáb;;
10/4/15;Dom;Dom;;
10/5/15;Lun;;;
10/6/15;Mar;;;
10/7/15;Mié;;;
10/8/15;Jue;;;
10/9/15;Vie;;;
10/10/15;Sáb;Sáb;;
10/11/15;Dom;Dom;;
10/12/15;Lun;;;
10/13/15;Mar;;;
10/14/15;Mié;;;
10/15/15;Jue;;;
10/16/15;Vie;;;
10/17/15;Sáb;Sáb;;
10/18/15;Dom;Dom;;
10/19/15;Lun;;;
10/20/15;Mar;;;
10/21/15;Mié;;;
10/22/15;Jue;;;
10/23/15;Vie;;;
10/24/15;Sáb;Sáb;;
10/25/15;Dom;Dom;;
10/26/15;Lun;;;
10/27/15;Mar;;;
10/28/15;Mié;;;
10/29/15;Jue;;;
10/30/15;Vie;;;
10/31/15;Sáb;Sáb;;
11/1/15;Dom;Dom;;
11/2/15;Lun;;;
11/3/15;Mar;;;
11/4/15;Mié;;;
11/5/15;Jue;;;
11/6/15;Vie;;;
11/7/15;Sáb;Sáb;;
11/8/15;Dom;Dom;;
11/9/15;Lun;;;
11/10/15;Mar;;;
11/11/15;Mié;;;
11/12/15;Jue;;;
11/13/15;Vie;;;
11/14/15;Sáb;Sáb;;
11/15/15;Dom;Dom;;
11/16/15;Lun;;;
11/17/15;Mar;;;
11/18/15;Mié;;;
11/19/15;Jue;;;
11/20/15;Vie;;;
11/21/15;Sáb;Sáb;;
11/22/15;Dom;Dom;;
11/23/15;Lun;;;
11/24/15;Mar;;;
11/25/15;Mié;;;
11/26/15;Jue;;;
11/27/15;Vie;;;
11/28/15;Sáb;Sáb;;
11/29/15;Dom;Dom;;
11/30/15;Lun;;;
12/1/15;Mar;;;
12/2/15;Mié;;;
12/3/15;Jue;;;
12/4/15;Vie;;;
12/5/15;Sáb;Sáb;;
12/6/15;Dom;Dom;;
12/7/15;Lun;;;
12/8/15;Mar;;;
12/9/15;Mié;;;
12/10/15;Jue;;;
12/11/15;Vie;;;
12/12/15;Sáb;Sáb;;
12/13/15;Dom;Dom;;
12/14/15;Lun;;;
12/15/15;Mar;;;
12/16/15;Mié;;;
12/17/15;Jue;;;
12/18/15;Vie;;;
12/19/15;Sáb;Sáb;;
12/20/15;Dom;Dom;;
12/21/15;Lun;;;
12/22/15;Mar;;;
12/23/15;Mié;;;
12/24/15;Jue;;;
12/25/15;Vie;;;
12/26/15;Sáb;Sáb;;
12/27/15;Dom;Dom;;
12/28/15;Lun;;;
12/29/15;Mar;;;
12/30/15;Mié;;;
12/31/15;Jue;;;
1/1/16;Vie;;;
1/2/16;Sáb;Sáb;;
1/3/16;Dom;Dom;;
1/4/16;Lun;;;
1/5/16;Mar;;;
1/6/16;Mié;;;
1/7/16;Jue;;;
1/8/16;Vie;;;
1/9/16;Sáb;Sáb;;
1/10/16;Dom;Dom;;
1/11/16;Lun;;;
1/12/16;Mar;;;
1/13/16;Mié;;;
1/14/16;Jue;;;
1/15/16;Vie;;;
1/16/16;Sáb;Sáb;;
1/17/16;Dom;Dom;;
1/18/16;Lun;;;
1/19/16;Mar;;;
1/20/16;Mié;;;
1/21/16;Jue;;;
1/22/16;Vie;;;
1/23/16;Sáb;Sáb;;
1/24/16;Dom;Dom;;
1/25/16;Lun;;;
1/26/16;Mar;;;
1/27/16;Mié;;;
1/28/16;Jue;;;
1/29/16;Vie;;;
1/30/16;Sáb;Sáb;;
1/31/16;Dom;Dom;;
2/1/16;Lun;;;
2/2/16;Mar;;;
2/3/16;Mié;;;
2/4/16;Jue;;;
2/5/16;Vie;;;
2/6/16;Sáb;Sáb;;
2/7/16;Dom;Dom;;
2/8/16;Lun;;;
2/9/16;Mar;;;
2/10/16;Mié;;;
2/11/16;Jue;;;
2/12/16;Vie;;;
2/13/16;Sáb;Sáb;;
2/14/16;Dom;Dom;;
2/15/16;Lun;;;
2/16/16;Mar;;;
2/17/16;Mié;;;
2/18/16;Jue;;;
2/19/16;Vie;;;
2/20/16;Sáb;Sáb;;
2/21/16;Dom;Dom;;
2/22/16;Lun;;;
2/23/16;Mar;;;
2/24/16;Mié;;;
2/25/16;Jue;;;
2/26/16;Vie;;;
2/27/16;Sáb;Sáb;;
2/28/16;Dom;Dom;;
2/29/16;Lun;;;
3/1/16;Mar;;;
3/2/16;Mié;;;
3/3/16;Jue;;;
3/4/16;Vie;;;
3/5/16;Sáb;Sáb;;
3/6/16;Dom;Dom;;
3/7/16;Lun;;;
3/8/16;Mar;;;
3/9/16;Mié;;;
3/10/16;Jue;;;
3/11/16;Vie;;;
3/12/16;Sáb;Sáb;;
3/13/16;Dom;Dom;;
3/14/16;Lun;;;
3/15/16;Mar;;;
3/16/16;Mié;;;
3/17/16;Jue;;;
3/18/16;Vie;;;
3/19/16;Sáb;Sáb;;
3/20/16;Dom;Dom;;
3/21/16;Lun;;;
3/22/16;Mar;;;
3/23/16;Mié;;;
3/24/16;Jue;;;
3/25/16;Vie;;;
3/26/16;Sáb;Sáb;;
3/27/16;Dom;Dom;;
3/28/16;Lun;;;
3/29/16;Mar;;;
3/30/16;Mié;;;
3/31/16;Jue;;;
4/1/16;Vie;;;
4/2/16;Sáb;Sáb;;
4/3/16;Dom;Dom;;
4/4/16;Lun;;;
4/5/16;Mar;;;
4/6/16;Mié;;;
4/7/16;Jue;;;
4/8/16;Vie;;;
4/9/16;Sáb;Sáb;;
4/10/16;Dom;Dom;;
4/11/16;Lun;;;
4/12/16;Mar;;;
4/13/16;Mié;;;
4/14/16;Jue;;;
4/15/16;Vie;;;
4/16/16;Sáb;Sáb;;
4/17/16;Dom;Dom;;
4/18/16;Lun;;;
4/19/16;Mar;;;
