Día;Altas nuevos usuarios activos ab. anual sin ttp día;Altas nuevos usuarios activos ab. anual con ttp día;Altas nuevos usuarios activos ab. anual total día;;Usuarios activos ab. anual sin ttp acumulado desde inicio;Usuarios activos ab. anual con ttp acumulado desde inicio;Usuarios activos ab. anual total acumulado desde inicio;;;;;;;;;
4/12/16;-6;-12;-18;;32.199;33.098;65.297;;;;;;;;;
4/13/16;2;13;15;;32.201;33.111;65.312;;;;;;;;;
4/14/16;13;1;14;;32.214;33.112;65.326;;;;;;;;;
4/15/16;11;5;16;;32.225;33.117;65.342;;;;;;;;;
4/16/16;-5;0;-5;;32.220;33.117;65.337;;;;;;;;;
4/17/16;45;50;95;;32.265;33.167;65.432;;;;;;;;;
4/18/16;6;19;25;;32.271;33.186;65.457;;;;;;;;;
4/19/16;-5;-17;-22;;32.266;33.169;65.435;;;;;;;;;
4/20/16;8;-20;-12;;32.274;33.149;65.423;;;;;;;;;
4/21/16;9;12;21;;32.283;33.161;65.444;;;;;;;;;
4/22/16;13;6;19;;32.296;33.167;65.463;;;;;;;;;
4/23/16;23;30;53;;32.319;33.197;65.516;;;;;;;;;
4/24/16;41;62;103;;32.360;33.259;65.619;;;;;;;;;
4/25/16;15;35;50;;32.375;33.294;65.669;;;;;;;;;
4/26/16;20;11;31;;32.395;33.305;65.700;;;;;;;;;
4/27/16;7;22;29;;32.402;33.327;65.729;;;;;;;;;
4/28/16;0;8;8;;32.402;33.335;65.737;;;;;;;;;
4/29/16;1;22;23;;32.403;33.357;65.760;;;;;;;;;
4/30/16;24;36;60;;32.427;33.393;65.820;;;;;;;;;
5/1/16;32;31;63;;32.459;33.424;65.883;;;;;;;;;
5/2/16;50;13;63;;32.509;33.437;65.946;;;;;;;;;
5/3/16;14;5;19;;32.523;33.442;65.965;;;;;;;;;
5/4/16;21;33;54;;32.544;33.475;66.019;;;;;;;;;
5/5/16;9;32;41;;32.553;33.507;66.060;;;;;;;;;
5/6/16;15;1;16;;32.568;33.508;66.076;;;;;;;;;
5/7/16;12;14;26;;32.580;33.522;66.102;;;;;;;;;
5/8/16;-1;-4;-5;;32.579;33.518;66.097;;;;;;;;;
5/9/16;-10;-36;-46;;32.569;33.482;66.051;;;;;;;;;
5/10/16;-22;-18;-40;;32.547;33.464;66.011;;;;;;;;;
5/11/16;0;-23;-23;;32.547;33.441;65.988;;;;;;;;;
5/12/16;8;1;9;;32.555;33.442;65.997;;;;;;;;;
5/13/16;-1;-6;-7;;32.554;33.436;65.990;;;;;;;;;
5/14/16;18;19;37;;32.572;33.455;66.027;;;;;;;;;
5/15/16;21;31;52;;32.593;33.486;66.079;;;;;;;;;
5/16/16;39;29;68;;32.632;33.515;66.147;;;;;;;;;
5/17/16;3;3;6;;32.635;33.518;66.153;;;;;;;;;
5/18/16;2;8;10;;32.637;33.526;66.163;;;;;;;;;
5/19/16;23;46;69;;32.660;33.572;66.232;;;;;;;;;
5/20/16;14;37;51;;32.674;33.609;66.283;;;;;;;;;
5/21/16;51;54;105;;32.725;33.663;66.388;;;;;;;;;
5/22/16;34;55;89;;32.759;33.718;66.477;;;;;;;;;
5/23/16;12;29;41;;32.771;33.747;66.518;;;;;;;;;
5/24/16;4;17;21;;32.775;33.764;66.539;;;;;;;;;
5/25/16;-8;17;9;;32.767;33.781;66.548;;;;;;;;;
5/26/16;3;4;7;;32.770;33.785;66.555;;;;;;;;;
5/27/16;14;20;34;;32.784;33.805;66.589;;;;;;;;;
5/28/16;15;10;25;;32.799;33.815;66.614;;;;;;;;;
5/29/16;28;38;66;;32.827;33.853;66.680;;;;;;;;;
5/30/16;30;27;57;;32.857;33.880;66.737;;;;;;;;;
5/31/16;25;28;53;;32.882;33.908;66.790;;;;;;;;;
6/1/16;-3;29;26;;32.879;33.937;66.816;;;;;;;;;
6/2/16;58;37;95;;32.937;33.974;66.911;;;;;;;;;
6/3/16;28;43;71;;32.965;34.017;66.982;;;;;;;;;
6/4/16;44;66;110;;33.009;34.083;67.092;;;;;;;;;
6/5/16;55;62;117;;33.064;34.145;67.209;;;;;;;;;
6/6/16;14;29;43;;33.078;34.174;67.252;;;;;;;;;
6/7/16;22;41;63;;33.100;34.215;67.315;;;;;;;;;
6/8/16;9;-14;-5;;33.109;34.201;67.310;;;;;;;;;
6/9/16;30;21;51;;33.139;34.222;67.361;;;;;;;;;
6/10/16;15;9;24;;33.154;34.231;67.385;;;;;;;;;
6/11/16;18;18;36;;33.172;34.249;67.421;;;;;;;;;
6/12/16;34;40;74;;33.206;34.289;67.495;;;;;;;;;
6/13/16;26;34;60;;33.232;34.323;67.555;;;;;;;;;
6/14/16;11;-4;7;;33.243;34.319;67.562;;;;;;;;;
6/15/16;-16;-2;-18;;33.227;34.317;67.544;;;;;;;;;
6/16/16;0;3;3;;33.227;34.320;67.547;;;;;;;;;
6/17/16;14;5;19;;33.241;34.325;67.566;;;;;;;;;
6/18/16;17;22;39;;33.258;34.347;67.605;;;;;;;;;
6/19/16;31;24;55;;33.289;34.371;67.660;;;;;;;;;
6/20/16;5;15;20;;33.294;34.386;67.680;;;;;;;;;
6/21/16;0;15;15;;33.294;34.401;67.695;;;;;;;;;
6/22/16;6;10;16;;33.300;34.411;67.711;;;;;;;;;
6/23/16;8;20;28;;33.308;34.431;67.739;;;;;;;;;
6/24/16;13;-4;9;;33.321;34.427;67.748;;;;;;;;;
6/25/16;9;20;29;;33.330;34.447;67.777;;;;;;;;;
6/26/16;21;1;22;;33.351;34.448;67.799;;;;;;;;;
6/27/16;9;-1;8;;33.360;34.447;67.807;;;;;;;;;
6/28/16;-2;22;20;;33.358;34.469;67.827;;;;;;;;;
6/29/16;11;17;28;;33.369;34.486;67.855;;;;;;;;;
6/30/16;24;15;39;;33.393;34.501;67.894;;;;;;;;;
7/1/16;16;24;40;;33.409;34.525;67.934;;;;;;;;;
7/2/16;9;0;9;;33.418;34.525;67.943;;;;;;;;;
7/3/16;14;47;61;;33.432;34.572;68.004;;;;;;;;;
7/4/16;30;32;62;;33.462;34.604;68.066;;;;;;;;;
7/5/16;27;43;70;;33.489;34.647;68.136;;;;;;;;;
7/6/16;26;36;62;;33.515;34.683;68.198;;;;;;;;;
7/7/16;13;18;31;;33.528;34.701;68.229;;;;;;;;;
7/8/16;17;27;44;;33.545;34.728;68.273;;;;;;;;;
7/9/16;18;15;33;;33.563;34.743;68.306;;;;;;;;;
7/10/16;28;29;57;;33.591;34.772;68.363;;;;;;;;;
7/11/16;8;53;61;;33.599;34.825;68.424;;;;;;;;;
7/12/16;-194;-148;-342;;33.405;34.677;68.082;;;;;;;;;
7/13/16;-7;20;13;;33.398;34.697;68.095;;;;;;;;;
7/14/16;-15;35;20;;33.383;34.732;68.115;;;;;;;;;
7/15/16;7;-6;1;;33.390;34.726;68.116;;;;;;;;;
7/16/16;11;2;13;;33.401;34.728;68.129;;;;;;;;;
7/17/16;17;24;41;;33.418;34.752;68.170;;;;;;;;;
7/18/16;-420;-204;-624;;32.998;34.548;67.546;;;;;;;;;
7/19/16;-21;-5;-26;;32.977;34.543;67.520;;;;;;;;;
7/20/16;-39;-8;-47;;32.938;34.535;67.473;;;;;;;;;
7/21/16;-24;-20;-44;;32.914;34.515;67.429;;;;;;;;;
7/22/16;-1;-13;-14;;32.913;34.502;67.415;;;;;;;;;
7/23/16;-31;4;-27;;32.882;34.506;67.388;;;;;;;;;
7/24/16;-26;-5;-31;;32.856;34.501;67.357;;;;;;;;;
7/25/16;14;12;26;;32.870;34.513;67.383;;;;;;;;;
7/26/16;-40;-6;-46;;32.830;34.507;67.337;;;;;;;;;
7/27/16;-24;-9;-33;;32.806;34.498;67.304;;;;;;;;;
7/28/16;-20;-3;-23;;32.786;34.495;67.281;;;;;;;;;
7/29/16;-10;-1;-11;;32.776;34.494;67.270;;;;;;;;;
7/30/16;14;22;36;;32.790;34.516;67.306;;;;;;;;;
7/31/16;-1;-8;-9;;32.789;34.508;67.297;;;;;;;;;
8/1/16;12;31;43;;32.801;34.539;67.340;;;;;;;;;
8/2/16;-18;16;-2;;32.783;34.555;67.338;;;;;;;;;
8/3/16;-31;8;-23;;32.752;34.563;67.315;;;;;;;;;
8/4/16;-21;24;3;;32.731;34.587;67.318;;;;;;;;;
8/5/16;-21;19;-2;;32.710;34.606;67.316;;;;;;;;;
8/6/16;-5;-9;-14;;32.705;34.597;67.302;;;;;;;;;
8/7/16;-30;-2;-32;;32.675;34.595;67.270;;;;;;;;;
8/8/16;-16;10;-6;;32.659;34.605;67.264;;;;;;;;;
8/9/16;-13;-8;-21;;32.646;34.597;67.243;;;;;;;;;
8/10/16;-17;-3;-20;;32.629;34.594;67.223;;;;;;;;;
8/11/16;-28;-8;-36;;32.601;34.586;67.187;;;;;;;;;
8/12/16;-9;-28;-37;;32.592;34.558;67.150;;;;;;;;;
8/13/16;-23;-29;-52;;32.569;34.529;67.098;;;;;;;;;
8/14/16;-9;11;2;;32.560;34.540;67.100;;;;;;;;;
8/15/16;-3;-1;-4;;32.557;34.539;67.096;;;;;;;;;
8/16/16;-11;-5;-16;;32.546;34.534;67.080;;;;;;;;;
8/17/16;-16;-13;-29;;32.530;34.521;67.051;;;;;;;;;
8/18/16;-2;3;1;;32.528;34.524;67.052;;;;;;;;;
8/19/16;3;-8;-5;;32.531;34.516;67.047;;;;;;;;;
8/20/16;3;-15;-12;;32.534;34.501;67.035;;;;;;;;;
8/21/16;-6;-13;-19;;32.528;34.488;67.016;;;;;;;;;
8/22/16;12;20;32;;32.540;34.508;67.048;;;;;;;;;
8/23/16;-6;-14;-20;;32.534;34.494;67.028;;;;;;;;;
8/24/16;-12;-16;-28;;32.522;34.478;67.000;;;;;;;;;
8/25/16;-10;-3;-13;;32.512;34.475;66.987;;;;;;;;;
8/26/16;-3;-5;-8;;32.509;34.470;66.979;;;;;;;;;
8/27/16;3;19;22;;32.512;34.489;67.001;;;;;;;;;
8/28/16;-12;-10;-22;;32.500;34.479;66.979;;;;;;;;;
8/29/16;6;31;37;;32.506;34.510;67.016;;;;;;;;;
8/30/16;-1;17;16;;32.505;34.527;67.032;;;;;;;;;
8/31/16;21;21;42;;32.526;34.548;67.074;;;;;;;;;
9/1/16;1;4;5;;32.527;34.552;67.079;;;;;;;;;
9/2/16;28;12;40;;32.555;34.564;67.119;;;;;;;;;
9/3/16;26;12;38;;32.581;34.576;67.157;;;;;;;;;
9/4/16;22;36;58;;32.603;34.612;67.215;;;;;;;;;
9/5/16;13;49;62;;32.616;34.661;67.277;;;;;;;;;
9/6/16;1;9;10;;32.617;34.670;67.287;;;;;;;;;
9/7/16;-38;-12;-50;;32.579;34.658;67.237;;;;;;;;;
9/8/16;-18;-14;-32;;32.561;34.644;67.205;;;;;;;;;
9/9/16;-8;-10;-18;;32.553;34.634;67.187;;;;;;;;;
9/10/16;-3;18;15;;32.550;34.652;67.202;;;;;;;;;
9/11/16;-5;4;-1;;32.545;34.656;67.201;;;;;;;;;
9/12/16;1;19;20;;32.546;34.675;67.221;;;;;;;;;
9/13/16;-34;6;-28;;32.512;34.681;67.193;;;;;;;;;
9/14/16;-42;-30;-72;;32.470;34.651;67.121;;;;;;;;;
9/15/16;-29;-30;-59;;32.441;34.621;67.062;;;;;;;;;
9/16/16;-16;8;-8;;32.425;34.629;67.054;;;;;;;;;
9/17/16;9;18;27;;32.434;34.647;67.081;;;;;;;;;
9/18/16;-6;7;1;;32.428;34.654;67.082;;;;;;;;;
9/19/16;3;-3;0;;32.431;34.651;67.082;;;;;;;;;
9/20/16;-53;-2;-55;;32.378;34.649;67.027;;;;;;;;;
9/21/16;-30;-27;-57;;32.348;34.622;66.970;;;;;;;;;
9/22/16;-43;-4;-47;;32.305;34.618;66.923;;;;;;;;;
9/23/16;-4;-19;-23;;32.301;34.599;66.900;;;;;;;;;
9/24/16;-14;37;23;;32.287;34.636;66.923;;;;;;;;;
9/25/16;-5;4;-1;;32.282;34.640;66.922;;;;;;;;;
9/26/16;-14;-15;-29;;32.268;34.625;66.893;;;;;;;;;
9/27/16;-36;-17;-53;;32.232;34.608;66.840;;;;;;;;;
9/28/16;-54;-55;-109;;32.178;34.553;66.731;;;;;;;;;
9/29/16;-52;-7;-59;;32.126;34.546;66.672;;;;;;;;;
9/30/16;-26;19;-7;;32.100;34.565;66.665;;;;;;;;;
10/1/16;-9;10;1;;32.091;34.575;66.666;;;;;;;;;
10/2/16;-4;12;8;;32.087;34.587;66.674;;;;;;;;;
10/3/16;-21;-10;-31;;32.066;34.577;66.643;;;;;;;;;
10/4/16;-19;-18;-37;;32.047;34.559;66.606;;;;;;;;;
10/5/16;-51;-25;-76;;31.996;34.534;66.530;;;;;;;;;
10/6/16;-13;-7;-20;;31.983;34.527;66.510;;;;;;;;;
10/7/16;-25;24;-1;;31.958;34.551;66.509;;;;;;;;;
10/8/16;-14;15;1;;31.944;34.566;66.510;;;;;;;;;
10/9/16;-23;10;-13;;31.921;34.576;66.497;;;;;;;;;
10/10/16;-8;-26;-34;;31.913;34.550;66.463;;;;;;;;;
10/11/16;-24;-22;-46;;31.889;34.528;66.417;;;;;;;;;
10/12/16;-41;-58;-99;;31.848;34.470;66.318;;;;;;;;;
10/13/16;-53;-27;-80;;31.795;34.443;66.238;;;;;;;;;
10/14/16;-39;2;-37;;31.756;34.445;66.201;;;;;;;;;
10/15/16;-7;-8;-15;;31.749;34.437;66.186;;;;;;;;;
10/16/16;-8;-15;-23;;31.741;34.422;66.163;;;;;;;;;
10/17/16;-20;-18;-38;;31.721;34.404;66.125;;;;;;;;;
10/18/16;-26;-35;-61;;31.695;34.369;66.064;;;;;;;;;
10/19/16;-40;-30;-70;;31.655;34.339;65.994;;;;;;;;;
10/20/16;-47;-38;-85;;31.608;34.301;65.909;;;;;;;;;
10/21/16;-31;-15;-46;;31.577;34.286;65.863;;;;;;;;;
10/22/16;-33;-29;-62;;31.544;34.257;65.801;;;;;;;;;
10/23/16;-29;-28;-57;;31.515;34.229;65.744;;;;;;;;;
10/24/16;-22;-42;-64;;31.493;34.187;65.680;;;;;;;;;
10/25/16;-39;-36;-75;;31.454;34.151;65.605;;;;;;;;;
10/26/16;-48;-38;-86;;31.406;34.113;65.519;;;;;;;;;
10/27/16;-45;-13;-58;;31.361;34.100;65.461;;;;;;;;;
10/28/16;-9;-13;-22;;31.352;34.087;65.439;;;;;;;;;
10/29/16;4;-6;-2;;31.356;34.081;65.437;;;;;;;;;
10/30/16;-16;-1;-17;;31.340;34.080;65.420;;;;;;;;;
10/31/16;-14;-11;-25;;31.326;34.069;65.395;;;;;;;;;
11/1/16;-11;-4;-15;;31.315;34.065;65.380;;;;;;;;;
11/2/16;-41;-24;-65;;31.274;34.041;65.315;;;;;;;;;
11/3/16;-27;-16;-43;;31.247;34.025;65.272;;;;;;;;;
11/4/16;-13;-18;-31;;31.234;34.007;65.241;;;;;;;;;
11/5/16;-9;-26;-35;;31.225;33.981;65.206;;;;;;;;;
11/6/16;5;-15;-10;;31.230;33.966;65.196;;;;;;;;;
11/7/16;-28;-14;-42;;31.202;33.952;65.154;;;;;;;;;
11/8/16;-46;-39;-85;;31.156;33.913;65.069;;;;;;;;;
11/9/16;-39;-24;-63;;31.117;33.889;65.006;;;;;;;;;
11/10/16;-19;-15;-34;;31.098;33.874;64.972;;;;;;;;;
11/11/16;-14;-26;-40;;31.084;33.848;64.932;;;;;;;;;
11/12/16;0;-14;-14;;31.084;33.834;64.918;;;;;;;;;
11/13/16;-5;-2;-7;;31.079;33.832;64.911;;;;;;;;;
11/14/16;-22;-30;-52;;31.057;33.802;64.859;;;;;;;;;
11/15/16;-12;-37;-49;;31.045;33.765;64.810;;;;;;;;;
11/16/16;-15;-47;-62;;31.030;33.718;64.748;;;;;;;;;
11/17/16;-56;-28;-84;;30.974;33.690;64.664;;;;;;;;;
11/18/16;-15;-27;-42;;30.959;33.663;64.622;;;;;;;;;
11/19/16;-22;-4;-26;;30.937;33.659;64.596;;;;;;;;;
11/20/16;-19;-32;-51;;30.918;33.627;64.545;;;;;;;;;
11/21/16;-18;-46;-64;;30.900;33.581;64.481;;;;;;;;;
11/22/16;-19;-50;-69;;30.881;33.531;64.412;;;;;;;;;
11/23/16;-24;-51;-75;;30.857;33.480;64.337;;;;;;;;;
11/24/16;-21;-19;-40;;30.836;33.461;64.297;;;;;;;;;
11/25/16;-21;-25;-46;;30.815;33.436;64.251;;;;;;;;;
11/26/16;-24;-22;-46;;30.791;33.414;64.205;;;;;;;;;
11/27/16;-19;-19;-38;;30.772;33.395;64.167;;;;;;;;;
11/28/16;-19;-34;-53;;30.753;33.361;64.114;;;;;;;;;
11/29/16;-11;-31;-42;;30.742;33.330;64.072;;;;;;;;;
11/30/16;-12;-14;-26;;30.730;33.316;64.046;;;;;;;;;
12/1/16;-24;-10;-34;;30.706;33.306;64.012;;;;;;;;;
12/2/16;-8;3;-5;;30.698;33.309;64.007;;;;;;;;;
12/3/16;2;10;12;;30.700;33.319;64.019;;;;;;;;;
12/4/16;-2;-2;-4;;30.698;33.317;64.015;;;;;;;;;
12/5/16;2;-11;-9;;30.700;33.306;64.006;;;;;;;;;
12/6/16;10;9;19;;30.710;33.315;64.025;;;;;;;;;
12/7/16;-10;-3;-13;;30.700;33.312;64.012;;;;;;;;;
12/8/16;3;-2;1;;30.703;33.310;64.013;;;;;;;;;
12/9/16;-3;-8;-11;;30.700;33.302;64.002;;;;;;;;;
12/10/16;1;5;6;;30.701;33.307;64.008;;;;;;;;;
12/11/16;-7;-4;-11;;30.694;33.303;63.997;;;;;;;;;
12/12/16;-20;-14;-34;;30.674;33.289;63.963;;;;;;;;;
12/13/16;-14;-25;-39;;30.660;33.264;63.924;;;;;;;;;
12/14/16;-34;-32;-66;;30.626;33.232;63.858;;;;;;;;;
12/15/16;-13;-28;-41;;30.613;33.204;63.817;;;;;;;;;
12/16/16;-20;-22;-42;;30.593;33.182;63.775;;;;;;;;;
12/17/16;-13;-14;-27;;30.580;33.168;63.748;;;;;;;;;
12/18/16;-10;5;-5;;30.570;33.173;63.743;;;;;;;;;
12/19/16;-14;-19;-33;;30.556;33.154;63.710;;;;;;;;;
12/20/16;-8;-10;-18;;30.548;33.144;63.692;;;;;;;;;
12/21/16;-6;-9;-15;;30.542;33.135;63.677;;;;;;;;;
12/22/16;7;-12;-5;;30.549;33.123;63.672;;;;;;;;;
12/23/16;-11;-8;-19;;30.538;33.115;63.653;;;;;;;;;
12/24/16;0;-9;-9;;30.538;33.106;63.644;;;;;;;;;
12/25/16;3;-2;1;;30.541;33.104;63.645;;;;;;;;;
12/26/16;7;-7;0;;30.548;33.097;63.645;;;;;;;;;
12/27/16;-15;-24;-39;;30.533;33.073;63.606;;;;;;;;;
12/28/16;-10;-11;-21;;30.523;33.062;63.585;;;;;;;;;
12/29/16;-6;-4;-10;;30.517;33.058;63.575;;;;;;;;;
12/30/16;-20;-3;-23;;30.497;33.055;63.552;;;;;;;;;
12/31/16;-4;-5;-9;;30.493;33.050;63.543;;;;;;;;;
1/1/17;-2;-2;-4;;30.491;33.048;63.539;;;;;;;;;
1/2/17;0;-13;-13;;30.491;33.035;63.526;;;;;;;;;
1/3/17;-4;1;-3;;30.487;33.036;63.523;;;;;;;;;
1/4/17;-8;1;-7;;30.479;33.037;63.516;;;;;;;;;
1/5/17;2;-3;-1;;30.481;33.034;63.515;;;;;;;;;
1/6/17;13;7;20;;30.494;33.041;63.535;;;;;;;;;
1/7/17;17;4;21;;30.511;33.045;63.556;;;;;;;;;
1/8/17;8;9;17;;30.519;33.054;63.573;;;;;;;;;
1/9/17;2;9;11;;30.521;33.063;63.584;;;;;;;;;
1/10/17;4;-6;-2;;30.525;33.057;63.582;;;;;;;;;
1/11/17;3;13;16;;30.528;33.070;63.598;;;;;;;;;
1/12/17;-2;9;7;;30.526;33.079;63.605;;;;;;;;;
1/13/17;-16;3;-13;;30.510;33.082;63.592;;;;;;;;;
1/14/17;7;-4;3;;30.517;33.078;63.595;;;;;;;;;
1/15/17;-1;16;15;;30.516;33.094;63.610;;;;;;;;;
1/16/17;2;3;5;;30.518;33.097;63.615;;;;;;;;;
1/17/17;-12;-13;-25;;30.506;33.084;63.590;;;;;;;;;
1/18/17;-17;-6;-23;;30.489;33.078;63.567;;;;;;;;;
1/19/17;-17;-9;-26;;30.472;33.069;63.541;;;;;;;;;
1/20/17;-21;-20;-41;;30.451;33.049;63.500;;;;;;;;;
1/21/17;-13;-22;-35;;30.438;33.027;63.465;;;;;;;;;
1/22/17;4;5;9;;30.442;33.032;63.474;;;;;;;;;
1/23/17;8;6;14;;30.450;33.038;63.488;;;;;;;;;
1/24/17;-11;-27;-38;;30.439;33.011;63.450;;;;;;;;;
1/25/17;-11;-11;-22;;30.428;33.000;63.428;;;;;;;;;
1/26/17;-7;8;1;;30.421;33.008;63.429;;;;;;;;;
1/27/17;-6;-13;-19;;30.415;32.995;63.410;;;;;;;;;
1/28/17;7;2;9;;30.422;32.997;63.419;;;;;;;;;
1/29/17;-4;6;2;;30.418;33.003;63.421;;;;;;;;;
1/30/17;-4;6;2;;30.414;33.009;63.423;;;;;;;;;
1/31/17;-13;-19;-32;;30.401;32.990;63.391;;;;;;;;;
2/1/17;-36;-7;-43;;30.365;32.983;63.348;;;;;;;;;
2/2/17;-21;-19;-40;;30.344;32.964;63.308;;;;;;;;;
2/3/17;-25;-6;-31;;30.319;32.958;63.277;;;;;;;;;
2/4/17;-10;2;-8;;30.309;32.960;63.269;;;;;;;;;
2/5/17;5;23;28;;30.314;32.983;63.297;;;;;;;;;
2/6/17;-10;-15;-25;;30.304;32.968;63.272;;;;;;;;;
2/7/17;-8;-26;-34;;30.296;32.942;63.238;;;;;;;;;
2/8/17;-10;-1;-11;;30.286;32.941;63.227;;;;;;;;;
2/9/17;5;-18;-13;;30.291;32.923;63.214;;;;;;;;;
2/10/17;-13;-12;-25;;30.278;32.911;63.189;;;;;;;;;
2/11/17;-10;-20;-30;;30.268;32.891;63.159;;;;;;;;;
2/12/17;-13;1;-12;;30.255;32.892;63.147;;;;;;;;;
2/13/17;5;-13;-8;;30.260;32.879;63.139;;;;;;;;;
2/14/17;-5;-9;-14;;30.255;32.870;63.125;;;;;;;;;
2/15/17;-9;-7;-16;;30.246;32.863;63.109;;;;;;;;;
2/16/17;-11;-14;-25;;30.235;32.849;63.084;;;;;;;;;
2/17/17;-3;3;0;;30.232;32.852;63.084;;;;;;;;;
2/18/17;19;5;24;;30.251;32.857;63.108;;;;;;;;;
2/19/17;12;18;30;;30.263;32.875;63.138;;;;;;;;;
2/20/17;5;5;10;;30.268;32.880;63.148;;;;;;;;;
2/21/17;-5;24;19;;30.263;32.904;63.167;;;;;;;;;
2/22/17;1;8;9;;30.264;32.912;63.176;;;;;;;;;
2/23/17;9;0;9;;30.273;32.912;63.185;;;;;;;;;
2/24/17;4;9;13;;30.277;32.921;63.198;;;;;;;;;
2/25/17;21;36;57;;30.298;32.957;63.255;;;;;;;;;
2/26/17;16;25;41;;30.314;32.982;63.296;;;;;;;;;
2/27/17;11;1;12;;30.325;32.983;63.308;;;;;;;;;
2/28/17;0;-4;-4;;30.325;32.979;63.304;;;;;;;;;
3/1/17;-3;14;11;;30.322;32.993;63.315;;;;;;;;;
3/2/17;8;20;28;;30.330;33.013;63.343;;;;;;;;;
3/3/17;-7;-13;-20;;30.323;33.000;63.323;;;;;;;;;
3/4/17;1;1;2;;30.324;33.001;63.325;;;;;;;;;
3/5/17;9;14;23;;30.333;33.015;63.348;;;;;;;;;
3/6/17;4;17;21;;30.337;33.032;63.369;;;;;;;;;
3/7/17;9;10;19;;30.346;33.042;63.388;;;;;;;;;
3/8/17;-12;16;4;;30.334;33.058;63.392;;;;;;;;;
3/9/17;1;21;22;;30.335;33.079;63.414;;;;;;;;;
3/10/17;-133;-109;-242;;30.202;32.970;63.172;;;;;;;;;
3/11/17;34;35;69;;30.236;33.005;63.241;;;;;;;;;
3/12/17;61;-47;14;;30.297;32.958;63.255;;;;;;;;;
3/13/17;19;-7;12;;30.316;32.951;63.267;;;;;;;;;
3/14/17;-3;3;0;;30.313;32.954;63.267;;;;;;;;;
3/15/17;-6;15;9;;30.307;32.969;63.276;;;;;;;;;
3/16/17;-3;15;12;;30.304;32.984;63.288;;;;;;;;;
3/17/17;11;16;27;;30.315;33.000;63.315;;;;;;;;;
3/18/17;14;46;60;;30.329;33.046;63.375;;;;;;;;;
3/19/17;11;46;57;;30.340;33.092;63.432;;;;;;;;;
3/20/17;35;55;90;;30.375;33.147;63.522;;;;;;;;;
3/21/17;-1;-13;-14;;30.374;33.134;63.508;;;;;;;;;
3/22/17;-3;-9;-12;;30.371;33.125;63.496;;;;;;;;;
3/23/17;-5;2;-3;;30.366;33.127;63.493;;;;;;;;;
3/24/17;-6;-22;-28;;30.360;33.105;63.465;;;;;;;;;
3/25/17;11;-5;6;;30.371;33.100;63.471;;;;;;;;;
3/26/17;13;2;15;;30.384;33.102;63.486;;;;;;;;;
3/27/17;-4;-1;-5;;30.380;33.101;63.481;;;;;;;;;
3/28/17;4;11;15;;30.384;33.112;63.496;;;;;;;;;
3/29/17;23;31;54;;30.407;33.143;63.550;;;;;;;;;
3/30/17;21;21;42;;30.428;33.164;63.592;;;;;;;;;
3/31/17;11;18;29;;30.439;33.182;63.621;;;;;;;;;
4/1/17;3;20;23;;30.442;33.202;63.644;;;;;;;;;
4/2/17;30;41;71;;30.472;33.243;63.715;;;;;;;;;
4/3/17;8;-29;-21;;30.480;33.214;63.694;;;;;;;;;
4/4/17;0;35;35;;30.480;33.249;63.729;;;;;;;;;
4/5/17;-15;16;1;;30.465;33.265;63.730;;;;;;;;;
4/6/17;-27;-6;-33;;30.438;33.259;63.697;;;;;;;;;
4/7/17;-1;6;5;;30.437;33.265;63.702;;;;;;;;;
4/8/17;11;33;44;;30.448;33.298;63.746;;;;;;;;;
4/9/17;21;38;59;;30.469;33.336;63.805;;;;;;;;;
4/10/17;2;-6;-4;;30.471;33.330;63.801;;;;;;;;;
4/11/17;3;38;41;;30.474;33.368;63.842;;;;;;;;;
4/12/17;-12;47;35;;30.462;33.415;63.877;;;;;;;;;
4/13/17;9;-1;8;;30.471;33.414;63.885;;;;;;;;;
4/14/17;-2;12;10;;30.469;33.426;63.895;;;;;;;;;
4/15/17;11;-1;10;;30.480;33.425;63.905;;;;;;;;;
4/16/17;11;-2;9;;30.491;33.423;63.914;;;;;;;;;
4/17/17;0;30;30;;30.491;33.453;63.944;;;;;;;;;
4/18/17;12;26;38;;30.503;33.479;63.982;;;;;;;;;
4/19/17;6;12;18;;30.509;33.491;64.000;;;;;;;;;
4/20/17;-32;-26;-58;;30.477;33.465;63.942;;;;;;;;;
4/21/17;1;19;20;;30.478;33.484;63.962;;;;;;;;;
4/22/17;17;6;23;;30.495;33.490;63.985;;;;;;;;;
4/23/17;25;27;52;;30.520;33.517;64.037;;;;;;;;;
4/24/17;11;9;20;;30.531;33.526;64.057;;;;;;;;;
4/25/17;-5;-17;-22;;30.526;33.509;64.035;;;;;;;;;
4/26/17;-11;-8;-19;;30.515;33.501;64.016;;;;;;;;;
4/27/17;-18;-3;-21;;30.497;33.498;63.995;;;;;;;;;
4/28/17;-11;18;7;;30.486;33.516;64.002;;;;;;;;;
4/29/17;-5;-14;-19;;30.481;33.502;63.983;;;;;;;;;
4/30/17;-9;-5;-14;;30.472;33.497;63.969;;;;;;;;;
5/1/17;6;40;46;;30.478;33.537;64.015;;;;;;;;;
5/2/17;-9;-4;-13;;30.469;33.533;64.002;;;;;;;;;
5/3/17;7;-7;0;;30.476;33.526;64.002;;;;;;;;;
5/4/17;21;13;34;;30.497;33.539;64.036;;;;;;;;;
5/5/17;-5;3;-2;;30.492;33.542;64.034;;;;;;;;;
